player_id,player_name,positions,interceptions_lost,interceptions_made,lost_fumbles,pass_defended,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
aj-mccarron,AJ McCarron,QB,1.0,,1.0,,2.0,236.0,,,,,12.0,,
abram-smith,Abram Smith,RB,,,,,,,,-3.0,1.0,3.0,218.0,,
andre-mintze,Andre Mintze,LB/DE,,,,,,,,,,,,1.0,3.0
anthony-hines,Anthony Hines,LB,,,,,,,,,,,,,5.0
anthoula-kelly,Anthoula Kelly,DB/CB,,,,,,,,,,,,,7.0
austin-proehl,Austin Proehl,WR,,,,,,,,29.0,3.0,,,,
battlehawks-qb,Battlehawks QB,QB,1.0,,1.0,,2.0,236.0,,,,,12.0,,
ben-deluca,Ben Deluca,DB/FS,,,,,,,,,,,,,5.0
brian-hill,Brian Hill,RB,,,,,,,,29.0,3.0,,79.0,,
briley-moore-mckinney,Briley Moore-Mckinney,TE,,,,,,,,15.0,2.0,,,,
cameron-lewis,Cameron Lewis,DB,,,,,,,,,,,,1.0,3.0
carson-wells,Carson Wells,LB/OLB,,,,,,,,,,,,,6.0
chris-blair,Chris Blair,WR,,,,,,,,18.0,2.0,,,,
deriq-king,D\'Eriq King,QB,,,,,,,,,,1.0,9.0,,
darrius-shepherd,Darrius Shepherd,WR,,,,,,,,30.0,3.0,,,,
davin-bellamy,Davin Bellamy,DL/DE,,,,,,,,,,,,1.0,1.0
dejuan-neal,DeJuan Neal,DB/CB,,,,,,,,,,,,,3.0
defenders-dst,Defenders DST,DST,,1.0,,,,,,,,,,4.0,
defenders-qb,Defenders QB,QB,,,,,,90.0,,,,1.0,32.0,,
elorm-lumor,Elorm Lumor,DL/DE,,,,,,,,,,,,,2.0
gelen-robinson,Gelen Robinson,DL/DB,,,,,,,,,,,,,1.0
george-campbell,George Campbell,WR,,,,,,,1.0,5.0,1.0,,,,
hakeem-butler,Hakeem Butler,WR,,,,,,,,86.0,9.0,,,,
jacub-panasiuk,Jacub Panasiuk,DL,,,,,,,,,,,,,4.0
jake-sutherland,Jake Sutherland,TE/WR,,,,,,,,7.0,2.0,,,,
jamal-brooks,Jamal Brooks,LB,,,,,,,,,,,,,4.0
jarrell-owens,Jarrell Owens,DL/DB,,,,,,,,,,,,,1.0
jordan-taamu,Jordan Ta\'amu,QB,,,,,,90.0,,,,,23.0,0.0,0.0
joseph-wallace,Joseph Wallace,DL/DT,,,,,,,,,,,,1.0,1.0
josh-hammond,Josh Hammond,WR,,,,,,,,6.0,2.0,,2.0,,
kareem-walker,Kareem Walker,RB,,,,,,,,,,,1.0,,
kentrell-brice,Kentrell Brice,SAF/DB,,,,,,,,,,,,,1.0
kevin-atkins,Kevin Atkins,DL/DT,,,,,,,,,,,,,1.0
lacale-london,Lacale London,DL/DE,,,,,,,,,,,,,7.0
lakiem-williams,Lakiem Williams,LB,,,,,,,,,,,,,4.0
lucky-jackson,Lucky Jackson,WR,,,,,,,,54.0,5.0,,,,
lukas-denis,Lukas Denis,S/DB/FS,,,,,,,,,,,,,5.0
mataeo-durant,Mataeo Durant,RB,,,,,,,,,,,6.0,,
michael-joseph,Michael Joseph,DB/CB,,1.0,,1.0,,,,,,,,,3.0
mike-hampton,Mike Hampton,DB/CB,,,,1.0,,,,,,,,,5.0
mike-rose,Mike Rose,LB/DL/DB/MLB,,,,,,,,,,,,,8.0
nate-meadors,Nate Meadors,DB/FS,,,,,,,,,,,,,3.0
santos-ramirez,Santos Ramirez,SAF/DB,,,,,,,,,,,,,2.0
sebastian-brandt,Sebastian Brandt,DB/CB,,,,,,,,,,,,,1.0
silas-kelly,Silas Kelly,LB,,,,,,,,,,,,,1.0
steven-mitchell-jr,Steven Mitchell Jr.,WR,,,,,,,1.0,50.0,1.0,,,,
travis-feeney,Travis Feeney,LB/DL/DB/OLB,,,,,,,,,,,,,2.0
tre-watson,Tre Watson,LB/DB,,,,,,,,,,,,,4.0
willie-harvey,Willie Harvey,LB,,,,,,,,,,,,,6.0
