player_id,player_name,positions,assisted_tackles,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
alexander-kekua,Alexander Kekua,OL,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,,,,
ashton-henry,Ashton Henry,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,14.0,0.0,44.0,5.0,,,,,,,,,,,,,
asi-tupua,Asi Tupua,DL,,,,,,,,,,,,,,,2.0,,,,,,,13.0,17.0,0.0,26.0,,,,,,,7.7,15.0,0.0,23.0,3.0,,,,,,,,,,,,,
carlton-watkins,Carlton Watkins,DB,1.0,,,1.0,0.0,0.0,,,,,,,,,,6.0,48.5,0.0,2.0,485.0,10.0,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,9.0,6.0
charles-baker,Charles Baker,OL,0.0,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,14.0,14.0,0.0,14.0,,,,,,,11.0,11.0,0.0,11.0,1.0,-0.3,2.0,3.0,0.0,-1.0,,,1.0,1.0,1.0,0.0,,
chase-alisauckas,Chase Alisauckas,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,9.0,1.0,23.0,3.0,6.0,21.0,14.0,4.0,84.0,,,,,,,,
deron-maxwell,Deron Maxwell,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,9.0,1.0,14.0,2.0,,,,,,,,,,,,,
devin-groenhagen,Devin Groenhagen,DL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,11.0,2.0,24.0,3.0,,,,,,,,,,,,,
devontae-tinsley,Devontae Tinsley,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,6.0,3.0,0.0,,
dren-johnson,Dren Johnson,DB,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2.0,1.0,,7.0,1.0,7.0,,,,,,2.0,2.0,2.0,0.0,4.0,,,,,,,,
drew-prohaska,Drew Prohaska,RB,,,,,,,,,,,,,,0.0,,,,,,,,,,,,19.0,11.0,,15.0,3.0,91.0,,,,,,7.2,23.0,6.0,1.0,43.0,,,,,,,,
