player_id,player_name,positions,def_int,def_sacks,def_tackles,def_tackles_solo,def_td,def_tfl,fumbles,gp,kr_td,kr_yds,pass_att,pass_cmp,pass_int,pass_sacked,pass_td,pass_yds,pr_yds,recv_rec,recv_td,recv_tgt,recv_yds,rush_att,rush_td,rush_yds
aaron-jackson,Aaron Jackson,OT/P/WR,,,,,,,,1.0,,50.0,,,,,,,,7.0,2.0,9.0,147.0,,,
adam-masopust,Adam Masopust,,,,,,,,,1.0,,,,,,,,,,,,,,,,
adam-zouzelka,Adam Žouželka,RB,,,,,,,,1.0,,,,,,,,,,,,1.0,,13.0,,38.0
adrian-platzgummer,Adrian Platzgummer,WR,,,,,,,,1.0,,,,,,,,,,2.0,,3.0,31.0,,,
adria-botella-moreno,Adrià Botella Moreno,TE/WR,,,,,,,,1.0,,,,,,,,,,5.0,,8.0,34.0,,,
ahsan-moore,Ahsan Moore,,,,,,,,,1.0,,,,,,,,,,,,,,,,
aleksandar-borkovic,Aleksandar Borković,DB,,,3.0,3.0,,,,1.0,,,,,,,,,,,,,,,,
aleksi-olavuo,Aleksi Olavuo,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,
alexander-frisch,Alexander Frisch,LB/QB,,1.0,2.0,2.0,,,,1.0,,,,,,,,,,,,,,,,
alvin-mats-karl-gustafsson,Alvin Mats Karl Gustafsson,,,,,,,,,1.0,,,,,,,,,,,,,,,,
amir-kilani,Amir Kilani,DB/LB,,,5.0,5.0,,,,1.0,,,,,,,,,,,,,,,,
anders-fallesen,Anders Fallesen,,,,,,,,,1.0,,,,,,,,,,,,,,,,
andrea-serra,Andrea Serra,WR,,,,,,,,1.0,,,,,,,,,,1.0,,1.0,11.0,,,
angelo-barletta,Angelo Barletta,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,
anton-witmeur,Anton Witmeur,,,,,,,,,1.0,,,,,,,,,,1.0,,1.0,-1.0,2.0,,
antony-marvyn-bouembe,Antony Marvyn Bouembe,,,,,,,,,1.0,,,,,,,,,,,,,,,,
antonin-kvapil,Antonín Kvapil,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,
armin-husarevic,Armin Husarevic,,,,,,,,,1.0,,,,,,,,,,,,,,,,
aslan-dennis-ragnar-zetterberg,Aslan Dennis Ragnar Zetterberg,,,,2.0,2.0,,,,1.0,,,,,,,,,,,,,,,,
austin-mitchell,Austin Mitchell,RS,,,,,,,,1.0,,157.0,,,,,,,,2.0,,6.0,35.0,1.0,,-3.0
baptiste-pollier,Baptiste Pollier,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,
bastian-laugesen,Bastian Laugesen,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,
bastian-roppelt,Bastian Roppelt,,,,,,,,,1.0,,,,,,,,,,,,,,,,
benedikt-dorner,Benedikt Dorner,,,,,,,,,1.0,,,,,,,,,,,,,,,,
benedikt-pohler,Benedikt Pohler,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,5.0,,21.0
benjamin-egbudiwe,Benjamin Egbudiwe,DL,,,2.0,2.0,,,,1.0,,,,,,,,,,,,,,,,
benjamin-worm,Benjamin Worm,,,,,,,,,1.0,,,,,,,,,,,,,,,,
berend-palz,Berend Palz,,,,,,,,,1.0,,,,,,,,,,,,,,,,
bijon-harris,Bijon Harris,RS,1.0,,2.0,2.0,,,,1.0,1.0,213.0,,,,,,,,,,,,,,
blanchard-mbuku,Blanchard Mbuku,,,,,,,,,1.0,,,,,,,,,,,,,,,,
brandin-bryant,Brandin Bryant,DB/DL/LB,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,
brendan-beaulieu,Brendan Beaulieu,WR,,,,,,,,1.0,,,,,,,,,,9.0,3.0,13.0,131.0,,,
brevia-easton,Brevia Easton,,,,,,,,,1.0,,,,,,,,,,2.0,,9.0,10.0,,,
celestin-ngimbi,Celestin Ngimbi,,,,,,,,,1.0,,,,,,,,,,,,,,,,
cheikhou-sow,Cheikhou Sow,WR,,,,,,,,1.0,,,,,,,,,,,,,,,,
chinazo-obobi,Chinazo Obobi,,,,,,,,,1.0,,,,,,,,,,,,,,,,
