player_id,player_name,positions,attempts,avg,long,td,yards
aruto-nishimura,Aruto Nishimura,,18.0,13.11,57.0,1.0,236.0
atomu-koizumi,Atomu Koizumi,,35.0,3.34,17.0,,117.0
atsushi-ioka,Atsushi Ioka,,47.0,4.68,46.0,,220.0
brandon-berry,Brandon Berry,,65.0,7.77,67.0,2.0,505.0
daiki-hori,Daiki Hori,,50.0,4.02,33.0,,201.0
eiji-suzuki,Eiji Suzuki,,18.0,10.17,54.0,1.0,183.0
hiroki-uchida,Hiroki Uchida,,13.0,11.31,43.0,2.0,147.0
hiroshi-kawamura,Hiroshi Kawamura,,45.0,7.82,73.0,1.0,352.0
hiroshi-ōmichi,Hiroshi Ōmichi,,16.0,13.13,35.0,1.0,210.0
hirotsugu-hayashi,Hirotsugu Hayashi,,19.0,8.26,41.0,1.0,157.0
john-stanton,John Stanton,,38.0,10.11,45.0,2.0,384.0
kaito-abe,Kaito Abe,,36.0,3.08,14.0,1.0,111.0
kazuki-iwata,Kazuki Iwata,,29.0,4.55,18.0,3.0,132.0
keita-suzuki,Keita Suzuki,,33.0,3.21,15.0,,106.0
kento-hada,Kento Hada,,13.0,10.23,48.0,1.0,133.0
kōhei-kusano,Kōhei Kusano,,40.0,6.25,28.0,,250.0
kōki-tsuneyoshi,Kōki Tsuneyoshi,,19.0,8.37,31.0,1.0,159.0
naoki-matsuoka,Naoki Matsuoka,,13.0,15.69,61.0,1.0,204.0
naoki-miura,Naoki Miura,,83.0,3.04,32.0,,252.0
riki-matsui,Riki Matsui,,18.0,14.44,41.0,2.0,260.0
rikuto-yamada,Rikuto Yamada,,59.0,6.44,33.0,1.0,380.0
ryōya-kataoka,Ryōya Kataoka,,24.0,6.17,28.0,1.0,148.0
ryūki-suzuki,Ryūki Suzuki,,16.0,11.63,71.0,1.0,186.0
shōgo-numata,Shōgo Numata,,20.0,4.7,35.0,,94.0
shū-yashiro,Shū Yashiro,,19.0,7.42,54.0,2.0,141.0
takashi-miyako,Takashi Miyako,,42.0,4.9,19.0,1.0,206.0
takato-kido,Takato Kido,,17.0,15.71,95.0,2.0,267.0
tarō-mizuno,Tarō Mizuno,,17.0,15.18,35.0,1.0,258.0
tarō-yoshimitsu,Tarō Yoshimitsu,,44.0,4.77,28.0,1.0,210.0
tetsuya-nakano,Tetsuya Nakano,,20.0,5.45,18.0,1.0,109.0
tomoki-chimura,Tomoki Chimura,,50.0,4.66,28.0,2.0,233.0
tsubasa-brennan,Tsubasa Brennan,,15.0,16.27,48.0,2.0,244.0
yutaka-tatsumi,Yutaka Tatsumi,,35.0,5.0,30.0,1.0,175.0
yōsuke-inoue,Yōsuke Inoue,,63.0,3.81,63.0,1.0,240.0
yū-emori,Yū Emori,,18.0,6.06,23.0,,109.0
yūdai-aratake,Yūdai Aratake,,35.0,4.83,25.0,2.0,169.0
yūki-shirakami,Yūki Shirakami,,27.0,4.89,30.0,,132.0
yūshirō-sakai,Yūshirō Sakai,,50.0,5.88,32.0,,294.0
yūto-ōnishi,Yūto Ōnishi,,15.0,11.6,25.0,,174.0
