player_id,player_name,positions,match_loss,match_played,match_win,team_points_against,team_points_for
bendik-ramsfjell,Bendik Ramsfjell,,1.0,1.0,0.0,9.0,1.0
benoît-schwarz,Benoît Schwarz,,0.0,1.0,1.0,1.0,9.0
gaute-nepstad,Gaute Nepstad,,1.0,1.0,0.0,9.0,1.0
kim-schwaller,Kim Schwaller,,0.0,1.0,1.0,1.0,9.0
magnus-ramsfjell,Magnus Ramsfjell,,1.0,1.0,0.0,9.0,1.0
martin-sesaker,Martin Sesaker,,1.0,1.0,0.0,9.0,1.0
pablo-lachat,Pablo Lachat,,0.0,1.0,1.0,1.0,9.0
sven-michel,Sven Michel,,0.0,1.0,1.0,1.0,9.0
wilhelm-naess,Wilhelm Naess,,1.0,1.0,0.0,9.0,1.0
yannick-schwaller,Yannick Schwaller,,0.0,1.0,1.0,1.0,9.0
