player_id,player_name,positions,match_loss,match_played,match_win,team_points_against,team_points_for
benjamin-kapp,Benjamin Kapp,,1.0,1.0,0.0,9.0,4.0
bobby-lammie,Bobby Lammie,,0.0,1.0,1.0,4.0,9.0
bruce-mouat,Bruce Mouat,,0.0,1.0,1.0,4.0,9.0
felix-messenzehl,Felix Messenzehl,,1.0,1.0,0.0,9.0,4.0
grant-hardie,Grant Hardie,,0.0,1.0,1.0,4.0,9.0
hammy-jr-mcmillan,Hammy Jr McMillan,,0.0,1.0,1.0,4.0,9.0
johannes-scheuerl,Johannes Scheuerl,,1.0,1.0,0.0,9.0,4.0
kyle-waddell,Kyle Waddell,,0.0,1.0,1.0,4.0,9.0
marc-muskatewitz,Marc Muskatewitz,,1.0,1.0,0.0,9.0,4.0
mario-trevisiol,Mario Trevisiol,,1.0,1.0,0.0,9.0,4.0
