player_id,player_name,positions,1pt_conversion,3pt_pass,dst_touchdown,extra_point,field_goal_yards,fumble_recoveries,fumble_td,interceptions_lost,interceptions_made,lost_fumbles,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
bt-potter,B.T. Potter,K,,,,,56.0,,,,,,,,,,,,,,,
breakers-dst,Breakers DST,DST,,,,,,,,,2.0,,,,,10.0,,,,,,0.0
breakers-k,Breakers K,K,,,,1.0,44.0,,,,,,,,,,,,,,,
breakers-qb,Breakers QB,QB,,,,,,,,2.0,,,,1.0,190.0,,,,,0.0,0.0,
bryce-perkins,Bryce Perkins,QB,,1.0,,,,,1.0,0.0,,1.0,,1.0,231.0,,,,,1.0,60.0,
case-cookus,Case Cookus,QB,,,,,,,,2.0,,,,0.0,238.0,,,,,0.0,43.0,
cole-hikutini,Cole Hikutini,TE,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
corey-coleman,Corey Coleman,WR,,,,,,,,,,,,,,,0.0,76.0,6.0,,,
curtis-hodges,Curtis Hodges,TE,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
dae-dae-hunter,Dae Dae Hunter,RB,,,,,,,,,,,,,,,0.0,39.0,4.0,0.0,35.0,
deveon-smith,De\'Veon Smith,RB,,,,,,,,,,,,,,,,,,0.0,-4.0,
dee-anderson,Dee Anderson,WR,,,,,,,,,,,,,,,0.0,27.0,2.0,,,
deontay-burnett,Deontay Burnett,WR,,,,,,,,,,,,,,,0.0,45.0,4.0,,,
devin-gray,Devin Gray,WR,,,,,,,,,,,,,,,0.0,17.0,2.0,,,
dexter-williams,Dexter Williams,WR/RB,,,,,,,,,,,,,,,0.0,19.0,1.0,0.0,19.0,
diondre-overton,Diondre Overton,WR,,,,,,,,,,,,,,,0.0,48.0,2.0,,,
eli-stove,Eli Stove,WR,,,,,,,,,,,,,,,0.0,31.0,2.0,,,
gunnar-oakes,Gunnar Oakes,TE,,,,,,,,,,,,,,,0.0,29.0,2.0,,,
holton-ahlers,Holton Ahlers,QB,,,,,,,,,,,,,,,,,,0.0,4.0,
isaiah-winstead,Isaiah Winstead,WR,,,,,,,,,,,,,,,0.0,8.0,1.0,,,
javonta-payton,JaVonta Payton,WR,,,,,,,,,,,,,,,0.0,3.0,1.0,,,
jaylon-moore-2,Jaylon Moore,WR,,,,,,,,,,,,,,,0.0,31.0,2.0,,,
johnnie-dixon,Johnnie Dixon,WR,,,,,,,,,,,,,,,1.0,32.0,4.0,,,
jonathan-adams,Jonathan Adams,WR,,,,,,,,,,,,,,,0.0,33.0,3.0,,,
lee-morris,Lee Morris,WR,,,,,,,,,,,,,,,0.0,13.0,2.0,,,
lucas-havrisik,Lucas Havrisik,K/PK,,,,,115.0,,,,,,,,,,,,,,,
luis-aguilar,Luis Aguilar,K,,,,1.0,76.0,,,,,,1.0,,,,,,,,,
luis-perez,Luis Perez,QB,,,,,,,,0.0,,,,2.0,314.0,,,,,0.0,2.0,
malik-turner,Malik Turner,WR,,1.0,,,,,,,,,,,,,1.0,49.0,4.0,,,
matt-coghlin,Matt Coghlin,K,,,,1.0,44.0,,,,,,1.0,,,,,,,,,
matt-colburn-ii,Matt Colburn II,WR/RB,,,,,,,,,,,,,,,0.0,13.0,2.0,0.0,62.0,
mcleod-bethel-thompson,McLeod Bethel-Thompson,QB,,,,,,,,2.0,,,,1.0,190.0,,,,,,,
nate-mccrary,Nate McCrary,RB,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,13.0,
panthers-dst,Panthers DST,DST,,,,,,,,,0.0,,,,,24.0,,,,,,3.0
panthers-k,Panthers K,K,,,,,56.0,,,,,,,,,,,,,,,
panthers-qb,Panthers QB,QB,,1.0,,,,,,0.0,,1.0,,1.0,231.0,,,,,1.0,60.0,
pro-wells,Pro Wells,TE,,,,,,,,,,,,,,,0.0,23.0,2.0,,,
renegades-dst,Renegades DST,DST,,,,,,2.0,,,0.0,,,,,24.0,,,,,,1.0
renegades-k,Renegades K,K,,,,,115.0,,,,,,,,,,,,,,,
renegades-qb,Renegades QB,QB,,,,,,,,0.0,,,,2.0,314.0,,,,,0.0,6.0,
sage-surratt,Sage Surratt,TE,,,,,,,,,,,,,,,0.0,24.0,4.0,,,
sal-cannella,Sal Cannella,TE,,,,,,,,,,,,,,,1.0,92.0,6.0,,,
samson-nacua,Samson Nacua,WR,,,,,,,,,,1.0,,,,,0.0,0.0,0.0,,,
samuel-akem,Samuel Akem,WR,,,,,,,,,,,,,,,0.0,12.0,1.0,,,
siaosi-mariner,Siaosi Mariner,WR,,,,,,,,,,,,,,,0.0,86.0,5.0,,,
stars-dst,Stars DST,DST,,,1.0,,,,,,2.0,,,,,10.0,,,,,,2.0
stars-k,Stars K,K,,,,1.0,76.0,,,,,,1.0,,,,,,,,,
stars-qb,Stars QB,QB,,,,,,,,2.0,,,,0.0,238.0,,,,,0.0,43.0,
terry-wright,Terry Wright,WR,,,,,,,,,,,,,,,0.0,30.0,1.0,,,
toa-taua,Toa Taua,RB,1.0,,,,,,,,,,,,,,0.0,36.0,2.0,1.0,31.0,
tyler-vaughns,Tyler Vaughns,WR,,,,,,,,,,,,,,,1.0,127.0,9.0,0.0,-5.0,
wes-hills,Wes Hills,RB,,,,,,,,,,,,,,,0.0,30.0,5.0,0.0,74.0,
