player_id,player_name,positions,3pt_other,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
alex-mcgough,Alex McGough,QB,,,,0.0,,,0.0,0.0,,,,,0.0,1.0,
bt-potter,B.T. Potter,K,,39.0,,,,,,,,,,,,,
bryce-perkins,Bryce Perkins,QB,1.0,,,1.0,,,1.0,132.0,,,,,0.0,30.0,
cade-johnson,Cade Johnson,WR,,,,,,,,,,0.0,17.0,1.0,,,
cole-hikutini,Cole Hikutini,TE,,,,,,,,,,0.0,0.0,0.0,,,
danny-etling,Danny Etling,QB,,,,0.0,,,0.0,8.0,,,,,,,
davion-davis,Davion Davis,WR,,,,,,,,,,0.0,12.0,4.0,,,
deon-cain,Deon Cain,WR,,,,,,,,,,1.0,84.0,4.0,,,
devin-ross,Devin Ross,WR,,,,,,1.0,,,,0.0,0.0,0.0,,,
gunnar-oakes,Gunnar Oakes,TE,,,,,,,,,,0.0,29.0,3.0,,,
harrison-mevis,Harrison Mevis,K,,88.0,,,,,,,,,,,,,
jace-sternberger,Jace Sternberger,TE,,,,,,,,,,0.0,35.0,3.0,,,
jalen-camp,Jalen Camp,WR,,,,,,,,,,0.0,12.0,1.0,,,
jaylon-moore-2,Jaylon Moore,WR,,,,,,,,,,0.0,0.0,0.0,,,
jordan-thomas-2,Jordan Thomas,TE,,,,,,,,,,0.0,7.0,1.0,,,
larry-rountree-iii,Larry Rountree III,RB,,,,,,,,,,,,,0.0,4.0,
malik-turner,Malik Turner,WR,,,,,,,,,,0.0,12.0,2.0,,,
marlon-williams,Marlon Williams,WR,,,,,,,,,,0.0,32.0,3.0,,,
matt-colburn-ii,Matt Colburn II,WR/RB,,,,,,,,,,0.0,9.0,2.0,0.0,44.0,
matt-corral,Matt Corral,QB,,,,2.0,,,1.0,198.0,,,,,0.0,15.0,
nate-mccrary,Nate McCrary,RB,,,,,,,,,,0.0,11.0,1.0,0.0,53.0,
panthers-dst,Panthers DST,DST,,,,,2.0,,,,21.0,,,,,,0.0
panthers-k,Panthers K,K,,39.0,,,,,,,,,,,,,
panthers-qb,Panthers QB,QB,1.0,,,1.0,,,1.0,140.0,,,,,0.0,30.0,
ricky-person-jr,Ricky Person Jr.,RB,,,,,,,,,,0.0,-1.0,1.0,1.0,53.0,
samson-nacua,Samson Nacua,WR,,,,,,,,,,0.0,23.0,1.0,,,
siaosi-mariner,Siaosi Mariner,WR,,,,,,,,,,0.0,44.0,3.0,,,
stallions-dst,Stallions DST,DST,,,1.0,,1.0,,,,12.0,,,,,,3.0
stallions-k,Stallions K,K,,88.0,,,,,,,,,,,,,
stallions-qb,Stallions QB,QB,,,,2.0,,,1.0,198.0,,,,,0.0,16.0,
