player_id,player_name,positions,def_int,def_sack,def_solo,def_td,def_tot,def_yds,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_td,ret_yds,rush_att,rush_lg,rush_yds,score_conv,score_ir,score_p,score_pr,score_pts,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
boris-bede,Boris Bede,K,,,,,,,,,,,,,,,,,,,,,,80.0,3.0,1.0,6.0,1.0,157.0,,,,,,,,7.0,,1.0,1.0,32.0,5.0,2.0,2.0
brandon-banks,Brandon Banks,WR,,,,,,,,,,,,,,,,34.0,3.0,6.0,,2.0,45.0,2.0,1.0,,,,2.0,5.0,16.0,31.0,,,,,,,,,,,,
brandon-calver,Brandon Calver,LB,,,,,,,,,,,,,,,,,,,,,,13.0,1.0,,,,13.0,,,,,,,,,,,,,,,
cameron-judge,Cameron Judge,LB,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cariel-brooks,Cariel Brooks,DB,1.0,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charleston-hughes,Charleston Hughes,DB/DL,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chris-edwards,Chris Edwards,DB/LB,,1.0,3.0,,3.0,,6.0,,,,,,,,,,,,,,,18.0,1.0,,,,18.0,,,,,,,,,,,,,,,
chris-frey,Chris Frey,LB,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crezdon-butler,Crezdon Butler,DB,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dj-foster,D.J. Foster,RB,,,,,,,,,,,,,,,,12.0,5.0,7.0,,32.0,38.0,,,,,,,3.0,9.0,14.0,,,,,,,,,,,,
davaris-daniels,DaVaris DANIELS,WR,,,,,,,,,,,,,,,,18.0,6.0,11.0,,22.0,57.0,,,,,,,,,,,,,,,,,,,,,
damion-jeanpiere,Damion Jeanpiere,WR,,,,,,,,,,,,,,,,8.0,1.0,2.0,,8.0,8.0,,,,,,,,,,,,,,,,,,,,,
dane-evans,Dane Evans,QB,,,,,,,,29.0,21.0,,,23.0,3.0,2.0,248.0,,,,,,,,,,,,,2.0,8.0,10.0,,,,,,,,,,,,
daniel-braverman,Daniel Braverman,WR,,,,,,,,,,,,,,,,46.0,2.0,4.0,,42.0,60.0,44.0,3.0,,,,81.0,,,,,,,,,,,,,,,
david-ungerer,David Ungerer,WR,,,,,,,,,,,,,,,,,2.0,2.0,1.0,16.0,30.0,,,,,,,,,,,,1.0,,6.0,1.0,,,,,,
declan-cross,Declan Cross,FB/RB,,,,,,,,,,,,,,,,9.0,1.0,1.0,,6.0,9.0,,,,,,,,,,,,,,,,,,,,,
dejon-brissett,Dejon BRISSETT,WR,,,,,,,,,,,,,,,,12.0,1.0,2.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
des-lawrence,Des Lawrence,DB,,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dexter-mccoil,Dexter McCoil,DB/LB,,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
don-jackson,Don Jackson,RB,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,,,,6.0,4.0,5.0,11.0,,,,,,,,,,,,
dylan-wynn,Dylan Wynn,DB/DT,,1.0,2.0,,2.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eric-rogers,Eric Rogers,WR,,,,,,,,,,,,,,,,,2.0,5.0,2.0,1.0,20.0,,,,,,,,,,,,2.0,,12.0,2.0,,,,,,
frankie-williams,Frankie Williams,DB,,,5.0,,5.0,,,,,,,,,,,,,,,,,,4.0,,,1.0,87.0,,,,,,,1.0,6.0,1.0,,,,,,
henoc-muamba,Henoc Muamba,LB,,,7.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jagared-davis,Ja'Gared Davis,DB,,1.0,3.0,,3.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jaelon-acklin,Jaelon Acklin,WR,,,,,,,,,,,,,,,,35.0,5.0,6.0,,6.0,56.0,,,,,,,,,,1.0,,,,2.0,,,,,,,
jamal-peters,Jamal Peters,DB,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jeff-richards,Jeff Richards,DB,,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
joel-whitford,Joel Whitford,K/P,,,,,,,,,,,,,,,,,,,,,,67.0,9.0,5.0,4.0,,416.0,,,,,,,,1.0,,,,,,,
john-white,John White,RB,,,,,,,,,,,,,,,,13.0,2.0,2.0,,26.0,26.0,,,,,,,9.0,11.0,32.0,,,,,,,,,,,,
jovan-santos-knox,Jovan Santos-Knox,LB,,,8.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
julian-howsare,Julian Howsare,DE/DB/DL,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jumal-rolle,Jumal Rolle,DB,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kameron-kelly,Kameron Kelly,SS/DB/S,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kurleigh-gittens-jr,Kurleigh GITTENS JR.,WR,,,,,,,,,,,,,,,,45.0,6.0,8.0,,14.0,88.0,,,,,,,,,,,,,,,,,,,,,
llevi-noel,Llevi Noel,WR,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
mason-bennett,Mason Bennett,DE/DB,,1.0,1.0,,1.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
