player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_runouts,match_played
ab-martinez,AB Martinez,,,,,,,,,,,,,,1.0,1.0
adp-diaz,ADP Diaz,,,,,,,,6.0,0.0,1.0,3.0,0.0,2.0,,1.0
camila-valdes,Camila Valdes,,14.0,0.0,0.0,1.0,1.0,0.0,12.0,0.0,3.0,15.0,0.0,1.0,,1.0
dg-perez,DG Perez,,4.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,1.0
efb-estrada,EFB Estrada,,20.0,0.0,1.0,2.0,9.0,0.0,12.0,0.0,0.0,2.0,0.0,1.0,,1.0
florencia-martinez,Florencia Martinez,,10.0,0.0,0.0,5.0,0.0,0.0,6.0,0.0,2.0,8.0,0.0,0.0,,1.0
franchesca-moya,Franchesca Moya,,11.0,1.0,0.0,8.0,6.0,0.0,,,,,,,,1.0
iia-vildosola,IIA Vildosola,,1.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,1.0
ja-miranda,JA Miranda,,9.0,1.0,0.0,9.0,7.0,0.0,12.0,0.0,1.0,7.0,1.0,1.0,,1.0
jc-molina,JC Molina,,,,,,,,12.0,1.0,0.0,5.0,2.0,1.0,1.0,1.0
mbt-montero,MBT Montero,,16.0,0.0,0.0,6.0,1.0,0.0,,,,,,,,1.0
mpa-miranda,MPA Miranda,,26.0,4.0,1.0,3.0,24.0,0.0,,,,,,,,1.0
maria-salazar,Maria Salazar,,2.0,0.0,0.0,7.0,0.0,0.0,,,,,,,,1.0
ncc-perez,NCC Perez,,3.0,0.0,0.0,11.0,0.0,0.0,,,,,,,,1.0
sb-martinez,SB Martinez,,,,,,,,24.0,0.0,1.0,14.0,1.0,6.0,,1.0
sofia-araya,Sofia Araya,,8.0,0.0,1.0,10.0,0.0,0.0,,,,,,,,1.0
sofia-mardones,Sofia Mardones,,5.0,0.0,0.0,4.0,0.0,0.0,8.0,0.0,6.0,17.0,0.0,0.0,,1.0
tu-montero,TU Montero,,,,,,,,,,,,,,1.0,1.0
wm-delgado,WM Delgado,,,,,,,,6.0,0.0,2.0,8.0,0.0,3.0,1.0,1.0
yb-rodriguez,YB Rodriguez,,8.0,0.0,0.0,3.0,1.0,0.0,,,,,,,,1.0
yp-molina,YP Molina,,,,,,,,22.0,0.0,1.0,13.0,5.0,9.0,,1.0
