player_id,player_name,positions,fg_made,pass_td,pat_made,recv_td,rush_td
daniel-tolliver,Daniel Tolliver,DL,,,1.0,,1.0
darrin-primes,Darrin Primes,LB,,,,1.0,
davonte-brown,Davonte Brown,DB,,1.0,,,
demarius-washington,Demarius Washington,WR,2.0,,,,
miqueal-pillow-smiley,Miqueal Pillow-Smiley,DL,,,,,1.0
orlando-doss,Orlando Doss,WR,2.0,,,,
paxton-lynch,Paxton Lynch,QB,,,1.0,,1.0
traveon-samuel,Traveon Samuel,WR,,1.0,,,
verlon-reed,Verlon Reed,QB,,,,1.0,
