player_id,player_name,positions,def_int,def_solo,def_tot,pass_att,pass_cmp,pass_int,pass_lg,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_p,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
ac-leonard,A.C. Leonard,DL/DB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adarius-bowman,Adarius Bowman,WR/SB,,,,,,,,,,,6.0,9.0,3.0,24.0,141.0,,,,,,,,,,3.0,18.0,,3.0,,,,,,
alex-hoffman-ellis,Alex Hoffman-Ellis,LB,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
almondo-sewell,Almondo Sewell,DT/DB,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brandon-mcdonald,Brandon McDonald,DB,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bryant-moniz,Bryant Moniz,QB,,,,,,,,,,,,,,,,,,,,,1.0,8.0,,8.0,,,,,,,,,,
buddy-jackson,Buddy Jackson,DB,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cedric-mckinley,Cedric McKinley,DL/DB,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chris-getzlaf,Chris Getzlaf,WR,,,,,,,,,,19.0,3.0,4.0,1.0,16.0,32.0,,,,,,,,,,1.0,6.0,,1.0,,,,,,
cordelius-parks,Cordelius Parks,DB,,5.0,5.0,,,,,,,,,,,,,24.0,1.0,,,24.0,,,,,,,,,,,,,,
corvey-irvin,Corvey Irvin,DL/DB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cory-watson,Cory Watson,WR,,,,,,,,,,68.0,7.0,8.0,,64.0,118.0,,,,,,,,,,,,,,,,,,,
curtis-steele,Curtis Steele,RB,,1.0,1.0,,,,,,,13.0,2.0,3.0,,16.0,22.0,,,,,,8.0,18.0,,47.0,,,,,,,,,,
darian-durant,Darian Durant,QB,,,,38.0,27.0,,32.0,4.0,317.0,,,,,,,,,,,,6.0,9.0,,15.0,,,,,,,,,,
deion-belue,Deion Belue,DB,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deon-lacey,Deon Lacey,LB,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
