player_id,player_name,positions,blocked_punt,conversions,extra_point,field_goal_yards,interceptions_lost,interceptions_made,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
anders-carlson,Anders Carlson,PK/K,,,2.0,40.0,,,,,,,,,,,,
anthony-mcfarland-jr,Anthony McFarland Jr,RB,,,,,,,,,,,0.0,1.0,1.0,0.0,22.0,
austin-reed,Austin Reed,QB,,,,,0.0,,,0.0,166.0,,,,,0.0,10.0,
birmingham-stallions-qb,BIRMINGHAM STALLIONS QB,DST/K/QB,1.0,2.0,2.0,40.0,1.0,0.0,,2.0,159.0,17.0,,,,0.0,4.0,2.0
baylor-cupp,Baylor Cupp,TE,,,,,,,,,,,0.0,25.0,4.0,,,
colton-theaker,Colton Theaker,K,,,2.0,35.0,,,1.0,,,,,,,,,
dallas-renegades-dst,DALLAS RENEGADES DST,DST/K,,,2.0,35.0,,1.0,1.0,,,21.0,,,,,,1.0
dallas-renegades-qb,DALLAS RENEGADES QB,QB,,,,,0.0,,,0.0,166.0,,,,,0.0,42.0,
dae-dae-hunter,Dae Dae Hunter,RB,,,,,,,,,,,0.0,5.0,2.0,0.0,43.0,
daewood-davis,Daewood Davis,WR,,,,,,,,,,,1.0,46.0,1.0,,,
deon-cain,Deon Cain,WR,,,,,,,,,,,0.0,13.0,1.0,,,
deontay-burnett,Deontay Burnett,WR,,,,,,,,,,,0.0,20.0,3.0,,,
deonte-brown,Deonte Brown,OG,,,3.0,,,,,,,,,,,,,
dorian-thompson-robinson,Dorian Thompson-Robinson,QB,,2.0,,,1.0,,,2.0,159.0,,,,,0.0,4.0,
drake-stoops,Drake Stoops,WR,,,,,,,,,,,0.0,22.0,3.0,,,
ellis-merriweather,Ellis Merriweather,RB,,,,,,,,,,,0.0,33.0,5.0,2.0,38.0,
emmanuel-butler,Emmanuel Butler,WR,,,,,,,,,,,0.0,8.0,1.0,,,
greg-ward,Greg Ward,WR,,,,,,,,,,,0.0,35.0,4.0,0.0,7.0,
jabre-barber,Jabre Barber,WR,,,,,,,,,,,0.0,18.0,1.0,,,
jaydon-mickens,Jaydon Mickens,WR,,1.0,,,,,,,,,1.0,82.0,6.0,,,
jordan-thomas-2,Jordan Thomas,TE,,,,,,,,,,,0.0,-1.0,2.0,,,
justyn-ross,Justyn Ross,WR,,,,,,,,,,,0.0,0.0,0.0,,,
luke-lehnen,Luke Lehnen,QB,,,,,0.0,,,0.0,0.0,,,,,0.0,32.0,
marlon-williams,Marlon Williams,WR,,,,,,,,,,,0.0,0.0,0.0,,,
seth-green,Seth Green,TE,,,,,,,,,,,0.0,12.0,2.0,,,
tyler-vaughns,Tyler Vaughns,WR,,,,,,,,,,,0.0,6.0,1.0,,,
tyrion-davis-price,Tyrion Davis-Price,RB,,,,,,,,,,,,,,0.0,45.0,
