player_id,player_name,positions,assists,blocks,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
aaron-barcio,Aaron Barcio,P,1.0,,7.0,5.0,,,,,,7.0,2.0,72.0,-14.0
ben-lewis,Ben Lewis,P,4.0,1.0,19.0,10.0,1.0,8.0,1.0,1.0,,11.0,1.0,495.0,37.0
brandon-dial,Brandon Dial,P,0.0,,6.0,6.0,,,,,,6.0,,54.0,51.0
brandon-lin,Brandon Lin,P,,,4.0,3.0,,1.0,,,,3.0,,62.0,27.0
brian-gfroerer,Brian Gfroerer,P,,,7.0,5.0,,,1.0,,,7.0,1.0,23.0,40.0
connor-ughetta,Connor Ughetta,P,,,11.0,15.0,,,,,12.0,16.0,1.0,18.0,104.0
dane-bossert,Dane Bossert,P,,1.0,7.0,6.0,,,1.0,,,7.0,1.0,91.0,7.0
duncan-fitzgerald,Duncan Fitzgerald,P,1.0,0.0,34.0,36.0,,2.0,1.0,1.0,,38.0,2.0,206.0,142.0
elliot-sakach,Elliot Sakach,P,,,2.0,3.0,,,,,,3.0,,9.0,22.0
eric-brodbeck,Eric Brodbeck,P,1.0,1.0,21.0,21.0,,,0.0,,0.0,22.0,,199.0,43.0
evan-swiatek,Evan Swiatek,P,0.0,0.0,29.0,28.0,,2.0,,0.0,,29.0,,259.0,92.0
gavin-babbitt,Gavin Babbitt,P,,,0.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0
jackson-potts,Jackson Potts,P,1.0,,20.0,19.0,,2.0,1.0,0.0,8.0,21.0,,100.0,164.0
jake-radack,Jake Radack,P,2.0,,43.0,47.0,,1.0,4.0,3.0,,50.0,3.0,-68.0,454.0
jake-worthington,Jake Worthington,P,,1.0,8.0,5.0,,,,,,5.0,,94.0,12.0
jimmy-zuraw,Jimmy Zuraw,P,1.0,,14.0,25.0,,3.0,3.0,,,26.0,,77.0,205.0
joey-wylie,Joey Wylie,P,,0.0,13.0,11.0,,2.0,0.0,,,11.0,,202.0,92.0
john-clyde,John Clyde,P,6.0,,34.0,31.0,1.0,2.0,3.0,4.0,3.0,37.0,5.0,119.0,512.0
john-dowling,John Dowling,P,0.0,1.0,3.0,3.0,,,0.0,,,3.0,,28.0,21.0
joshua-zdrodowski,Joshua Zdrodowski,P,,,0.0,,,0.0,,,0.0,,,0.0,
kevin-land,Kevin Land,P,1.0,1.0,3.0,5.0,,,,1.0,,5.0,,17.0,65.0
kyle-henke,Kyle Henke,P,1.0,,14.0,9.0,0.0,4.0,1.0,0.0,0.0,10.0,1.0,204.0,20.0
mark-baldauf,Mark Baldauf,P,,,11.0,16.0,1.0,,,1.0,,17.0,,-2.0,138.0
mark-evans,Mark Evans,P,6.0,0.0,24.0,26.0,,0.0,2.0,3.0,,29.0,3.0,217.0,263.0
mark-henke,Mark Henke,P,,1.0,10.0,9.0,,1.0,,,,9.0,,104.0,72.0
matt-bennett,Matt Bennett,P,4.0,2.0,21.0,24.0,,2.0,4.0,1.0,,28.0,4.0,71.0,243.0
max-grove,Max Grove,P,,,4.0,1.0,,1.0,,,,3.0,2.0,39.0,9.0
mick-walter,Mick Walter,P,,,4.0,3.0,,2.0,,,,3.0,,45.0,27.0
noah-chambers,Noah Chambers,P,,,10.0,11.0,,0.0,0.0,,,11.0,0.0,120.0,109.0
noah-powell,Noah Powell,P,,,5.0,4.0,,1.0,1.0,,,4.0,,83.0,5.0
oliver-fay,Oliver Fay,P,0.0,,8.0,7.0,,1.0,2.0,,1.0,7.0,,87.0,14.0
owen-smith,Owen Smith,P,,,2.0,2.0,,,,,,2.0,,27.0,-17.0
reese-bowman,Reese Bowman,P,,,8.0,10.0,,,,,4.0,11.0,1.0,29.0,99.0
robert-hausmann,Robert Hausmann,P,,,0.0,0.0,,,,,,0.0,,0.0,0.0
steven-kelly,Steven Kelly,P,,,2.0,3.0,1.0,,,,,3.0,,8.0,19.0
tyler-reinhardt,Tyler Reinhardt,P,,,10.0,10.0,,,,,4.0,12.0,2.0,60.0,84.0
xavier-fuzat,Xavier Fuzat,P,2.0,,9.0,9.0,,,2.0,,,9.0,,87.0,73.0
zachary-cotter,Zachary Cotter,P,,,4.0,3.0,,,,,7.0,4.0,1.0,38.0,27.0
