player_id,player_name,positions,interceptions,interceptions_lost,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
aakiel-greer,Aakiel Greer,WR,,,,,0.0,34.0,4.0,,
adam-kruse,Adam Kruse,QB,3.0,,0.0,104.0,,,,1.0,12.0
demarius-washington,Demarius Washington,WR,,,,,4.0,117.0,6.0,,
deshon-williams,Deshon  Williams,TE/WR,,,,,0.0,48.0,6.0,,
ijaaz-rashid,Ijaaz Rashid,JLB/WR,,,,,,,,0.0,11.0
jairus-grissom,Jairus Grissom,QB,0.0,,2.0,101.0,,,,0.0,23.0
jalen-morton,Jalen Morton,QB,0.0,,5.0,135.0,,,,0.0,73.0
josh-meier,Josh Meier,WR,,,,,0.0,3.0,1.0,,
sw-kansas-qb,SW KANSAS QB,QB,,,7.0,236.0,,,,1.0,27.0
shiloh-flanagan,Shiloh Flanagan,WR,,,,,1.0,31.0,2.0,,
washington-qb,WASHINGTON QB,QB,,3.0,,140.0,,,,1.0,25.0
