player_id,player_name,positions,1pt_conversion,extra_point,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
amari-rodgers,Amari Rodgers,WR,,,,,,,,,,,,0.0,42.0,3.0,,,
cj-marable,CJ Marable,RB,,,,,,,,,,,,0.0,0.0,0.0,0.0,15.0,
cade-johnson,Cade Johnson,WR,,,,,,,,,,,,1.0,63.0,3.0,,,
case-cookus,Case Cookus,QB,,,,,2.0,,1.0,,0.0,280.0,,,,,0.0,12.0,
cole-hikutini,Cole Hikutini,TE,,,,,,,,,,,,1.0,56.0,3.0,,,
cole-murphy,Cole Murphy,K,,3.0,39.0,,,,,1.0,,,,,,,,,
corey-coleman,Corey Coleman,WR,,,,,,,,,,,,0.0,53.0,6.0,0.0,3.0,
dae-dae-hunter,Dae Dae Hunter,RB,,,,,,,,,,,,0.0,8.0,2.0,0.0,29.0,
davion-davis,Davion Davis,WR,,,,,,,,,,,,0.0,23.0,3.0,,,
deveon-smith,De\'Veon Smith,RB,,,,,,,,,,,,,,,0.0,4.0,
deontay-burnett,Deontay Burnett,WR,,,,,,,,,,,,0.0,26.0,4.0,,,
devin-gray,Devin Gray,WR,,,,,,,,,,,,0.0,67.0,8.0,,,
dexter-williams,Dexter Williams,RB/WR,,,,,,,,,,,,,9.0,2.0,,7.0,
diondre-overton,Diondre Overton,WR,,,,,,,1.0,,,,,0.0,46.0,3.0,,,
harrison-mevis,Harrison Mevis,K,,,42.0,,,,,,,,,,,,,,
isaiah-winstead,Isaiah Winstead,WR,,,,,,,,,,,,0.0,29.0,3.0,,,
javonta-payton,JaVonta Payton,WR,,,,,,,,,,,,0.0,22.0,3.0,,,
jace-sternberger,Jace Sternberger,TE,,,,,,,1.0,,,,,0.0,26.0,2.0,,,
jalen-camp,Jalen Camp,WR,,,,,,,,,,,,0.0,7.0,1.0,,,
joe-walker,Joe Walker,WR,,,,,,,,,,,,0.0,14.0,2.0,,,
jordan-suell,Jordan Suell,WR,,,,,,,,,,,,0.0,63.0,4.0,,,
jordan-thomas-2,Jordan Thomas,TE,,,,,,,,,,,,0.0,44.0,2.0,,,
josh-love,Josh Love,QB,,,,,2.0,,,,1.0,174.0,,,,,0.0,-2.0,
kalen-ballage,Kalen Ballage,RB,,,,,,,,,,,,0.0,15.0,1.0,0.0,41.0,
lujuan-winningham,LuJuan Winningham,WR,,,,,,,,,,,,0.0,12.0,2.0,,,
lucas-havrisik,Lucas Havrisik,PK/K,,,80.0,,,,,,,,,,,,,,
luis-aguilar,Luis Aguilar,K,,1.0,27.0,,,,,1.0,,,,,,,,,
luis-perez,Luis Perez,QB,,,,,0.0,,,,0.0,204.0,,,,,,,
marcus-baugh,Marcus Baugh,WR/TE,,,,,,,,,,,,0.0,6.0,1.0,,,
marcus-simms,Marcus Simms,WR,,,,,,,,,,,,0.0,0.0,0.0,,,
marlon-williams,Marlon Williams,WR,,,,,,,,,,,,0.0,41.0,4.0,,,
matt-colburn-ii,Matt Colburn II,RB/WR,,,,,,,,,,,,0.0,20.0,3.0,1.0,23.0,
matt-corral,Matt Corral,QB,1.0,,,,1.0,,,,1.0,255.0,,,,,0.0,24.0,
panthers-dst,Panthers DST,DST,,,,2.0,,2.0,,,,,10.0,,,,,,4.0
panthers-k,Panthers K,K,,3.0,39.0,,,,,1.0,,,,,,,,,
panthers-qb,Panthers QB,QB,,,,,2.0,,,,1.0,174.0,,,,,0.0,-2.0,
pro-wells,Pro Wells,TE,,,,,,,,,,,,0.0,16.0,2.0,,,
reggie-corbin,Reggie Corbin,RB,,,,,,,,,,,,0.0,9.0,3.0,2.0,131.0,
renegades-dst,Renegades DST,DST,,,,1.0,,1.0,,,,,10.0,,,,,,0.0
renegades-k,Renegades K,K,,,80.0,,,,,,,,,,,,,,
renegades-qb,Renegades QB,QB,,,,,0.0,,,,0.0,204.0,,,,,0.0,0.0,
ricky-person-jr,Ricky Person Jr.,RB,,,,,,,,,,,,,,,0.0,14.0,
sal-cannella,Sal Cannella,TE,,,,,,,1.0,,,,,0.0,52.0,6.0,,,
stallions-dst,Stallions DST,DST,,,,1.0,,0.0,,,,,9.0,,,,,,3.0
stallions-k,Stallions K,K,,,42.0,,,,,,,,,,,,,,
stallions-qb,Stallions QB,QB,1.0,,,,1.0,,,,1.0,255.0,,,,,0.0,24.0,
stars-dst,Stars DST,DST,,,,,,2.0,,,,,24.0,,,,,,0.0
stars-k,Stars K,K,,1.0,27.0,,,,,1.0,,,,,,,,,
stars-qb,Stars QB,QB,,,,,2.0,,1.0,,0.0,280.0,,,,,0.0,12.0,
stevie-scott-iii,Stevie Scott III,RB,,,,,,,,,,,,,,,0.0,15.0,
trey-quinn,Trey Quinn,WR,,,,,,,,,,,,0.0,36.0,3.0,,,
tyler-vaughns,Tyler Vaughns,WR,,,,,,,,,,,,0.0,40.0,5.0,,,
