player_id,player_name,positions,pass_att,pass_cmp,pass_gp,pass_int,pass_td,pass_yds,recv_gp,recv_rec,recv_td,recv_yds,rush_att,rush_gp,rush_td,rush_yds
ryan-davis-2,Ryan Davis,RB,,,,,,,14.0,55.0,2.0,589.0,9.0,14.0,,43.0
sean-mcguire-2,Sean McGuire,RB,,,,,,,,,,,30.0,13.0,8.0,73.0
sean-thomas-erlington,Sean THOMAS ERLINGTON,RB,,,,,,,12.0,20.0,1.0,129.0,70.0,12.0,4.0,356.0
shai-ross-2,Shai Ross,DB,,,,,,,14.0,27.0,4.0,369.0,,,,
shaquelle-evans,Shaquelle Evans,DB,,,,,,,7.0,25.0,,224.0,,,,
shaquille-cooper,Shaquille Cooper,RB,,,,,,,5.0,11.0,,69.0,33.0,5.0,1.0,142.0
shaquille-johnson,Shaquille Johnson,DB,,,,,,,14.0,30.0,,295.0,,,,
shawn-bane,Shawn Bane,WR,,,,,,,4.0,3.0,1.0,100.0,,,,
shea-patterson-2,Shea Patterson,RB,,,,,,,,,,,11.0,5.0,,18.0
spencer-moore-2,Spencer Moore,DB,,,,,,,7.0,1.0,,4.0,,,,
steven-dunbar-jr,Steven Dunbar Jr.,WR,,,,,,,12.0,44.0,4.0,630.0,,,,
tanner-green-2,Tanner Green,DB,,,,,,,12.0,2.0,1.0,11.0,,,,
taryn-christion-2,Taryn Christion,RB,,,,,,,,,,,6.0,4.0,,37.0
taylor-bertolet-2,Taylor Bertolet,WR,,,,,,,10.0,1.0,,4.0,,,,
taylor-cornelius,Taylor Cornelius,QB,247.0,143.0,14.0,13.0,9.0,1795.0,,,,,21.0,14.0,1.0,149.0
terrell-jana,Terrell Jana,WR,,,,,,,2.0,1.0,,7.0,,,,
terry-williams-2,Terry Williams,DB,,,,,,,9.0,4.0,,20.0,5.0,9.0,,5.0
tevaun-smith,Tevaun Smith,WR,,,,,,,13.0,27.0,,324.0,,,,
tim-flanders,Tim Flanders,RB,,,,,,,8.0,17.0,1.0,168.0,88.0,8.0,,385.0
tim-white,Tim White,WR/RB,,,,,,,13.0,56.0,2.0,774.0,12.0,13.0,,81.0
tommy-nield,Tommy Nield,WR,,,,,,,8.0,,,,,,,
trevor-harris,Trevor HARRIS,QB,283.0,199.0,10.0,7.0,14.0,2271.0,,,,,23.0,10.0,,105.0
tyler-ternowski,Tyler TERNOWSKI,WR,,,,,,,14.0,2.0,,56.0,,,,
tyron-vrede-2,Tyron Vrede,WR,,,,,,,14.0,1.0,,6.0,,,,
tyson-middlemost,Tyson MIDDLEMOST,WR,,,,,,,13.0,,,,,,,
vernon-adams-jr,Vernon ADAMS JR.,QB,239.0,142.0,8.0,9.0,14.0,1949.0,,,,,51.0,8.0,,298.0
walter-fletcher,Walter FLETCHER,RB,,,,,,,11.0,22.0,,177.0,67.0,11.0,,302.0
wes-hills,Wes Hills,RB,,,,,,,,,,,4.0,1.0,,20.0
wesley-lewis,Wesley Lewis,WR,,,,,,,5.0,1.0,,16.0,,,,
william-langlais-2,William Langlais,DB,,,,,,,12.0,1.0,,5.0,,,,
william-powell-2,William Powell,DB,,,,,,,13.0,38.0,,299.0,168.0,13.0,3.0,733.0
william-stanback-2,William Stanback,DB,,,,,,,12.0,16.0,,114.0,193.0,12.0,3.0,1176.0
zach-collaros,Zach COLLAROS,QB,346.0,243.0,13.0,6.0,20.0,3185.0,,,,,10.0,13.0,,63.0
