player_id,player_name,positions,assisted_tackles,blocks,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
aaron-dilworth,Aaron Dilworth,WR,,,,,,,,,,,,1.0,,,,,,,7.0,7.0,0.0,7.0,,,,,,,,,,,,4.7,8.0,6.0,2.0,28.0,,,,,,,,
addison-mccauley,Addison McCauley,K,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
albert-curran-iv,Albert Curran IV,DB,4.0,,1.0,1.0,,,,17.0,17.0,17.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,6.0,,,,
andre-thomas-cobb,Andre Thomas-Cobb,WR,,,,,,,,,,,0.0,,,,,,,,,,,,1.0,0.0,,0.0,0.0,0.0,10.0,10.0,1.0,10.0,1.0,9.0,24.0,4.0,1.0,36.0,,,,,,,,
anthony-lamar-dixon,Anthony Lamar Dixon,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,1.0,0.0,,
bryce-holliday,Bryce Holliday,QB,,,,,,,,,,,0.0,,,,,,,,,,,,6.0,6.0,,31.0,1.0,62.0,,,,,,5.1,16.0,7.0,1.0,36.0,,,,,,,,
cameron-mccauley,Cameron McCauley,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,6.0,9.0,2.0,0.0,12.0,,,,,,,,
chris-elmore,Chris  Elmore,RB,,,,,,,,,,,1.0,,,,,,,,,,,,17.0,12.0,,26.0,2.0,139.0,,,,,,-1.1,5.0,12.0,2.0,-13.0,,,,,,,,
cory-henry,Cory Henry,DL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,3.0,0.0,,
dajon-emory,Dajon Emory,DL,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,,,,
