player_id,player_name,positions,match_loss,match_played,match_win,team_points_against,team_points_for
archie-hyslop,Archie Hyslop,,0.0,1.0,1.0,8.0,9.0
calan-macisaac,Calan Macisaac,,1.0,1.0,0.0,9.0,8.0
charlie-gibb,Charlie Gibb,,0.0,1.0,1.0,8.0,9.0
christopher-mccurdy,Christopher McCurdy,,1.0,1.0,0.0,9.0,8.0
fraser-swanston,Fraser Swanston,,0.0,1.0,1.0,8.0,9.0
logan-carson,Logan Carson,,0.0,1.0,1.0,8.0,9.0
nathan-gray,Nathan Gray,,1.0,1.0,0.0,9.0,8.0
nicholas-mosher,Nicholas Mosher,,1.0,1.0,0.0,9.0,8.0
orrin-carson,Orrin Carson,,0.0,1.0,1.0,8.0,9.0
owain-fisher,Owain Fisher,,1.0,1.0,0.0,9.0,8.0
