player_id,player_name,positions,dst_touchdown,extra_point,field_goal_yards,interceptions_lost,interceptions_made,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
austin-reed,Austin Reed,QB,,,,4.0,,1.0,195.0,,,,,0.0,0.0,
chandler-rogers,Chandler Rogers,QB,,,,0.0,,0.0,150.0,,,,,0.0,22.0,
colton-theaker,Colton Theaker,K,,1.0,,,,,,,,,,,,
curtis-hodges,Curtis Hodges,TE,,,,,,,,,1.0,88.0,2.0,,,
dallas-renegades-dst,DALLAS RENEGADES DST,K/DST,,1.0,,,0.0,,,35.0,,,,,,3.0
dallas-renegades-qb,DALLAS RENEGADES QB,QB,,,,4.0,,1.0,195.0,,,,,0.0,0.0,
dae-dae-hunter,Dae Dae Hunter,RB,,,,,,,,,0.0,2.0,1.0,0.0,36.0,
deontay-burnett,Deontay Burnett,WR,,,,,,,,,0.0,21.0,3.0,,,
drake-stoops,Drake Stoops,WR,,,,,,,,,0.0,47.0,4.0,0.0,4.0,
ellis-merriweather,Ellis Merriweather,RB,,,,,,,,,0.0,33.0,3.0,2.0,55.0,
emmanuel-butler,Emmanuel Butler,WR,,,,,,,,,1.0,35.0,2.0,,,
greg-ward,Greg Ward,WR,,,,,,1.0,74.0,,0.0,5.0,1.0,0.0,9.0,
ian-wheeler,Ian Wheeler,RB,,,,,,,,,,,,4.0,62.0,
isaiah-winstead,Isaiah Winstead,WR,,,,,,,,,0.0,6.0,1.0,,,
james-robinson,James Robinson,RB,,,,,,,,,0.0,18.0,1.0,0.0,63.0,
louisville-kings-dst,LOUISVILLE KINGS DST,K/DST,2.0,5.0,57.0,,4.0,,,25.0,,,,,,2.0
louisville-kings-qb,LOUISVILLE KINGS QB,QB,,,,0.0,,0.0,150.0,,,,,0.0,22.0,
lucky-jackson,Lucky Jackson,WR,,,,,,,,,0.0,33.0,3.0,,,
seth-green,Seth Green,TE,,,,,,,,,0.0,29.0,3.0,,,
tanner-brown,Tanner Brown,K,,5.0,57.0,,,,,,,,,,,
tarik-black,Tarik Black,WR,,,,,,,,,0.0,59.0,5.0,,,
tyler-hudson,Tyler Hudson,WR,,,,,,,,,0.0,7.0,1.0,,,
tyler-vaughns,Tyler Vaughns,WR,,,,,,,,,0.0,9.0,1.0,,,
zach-davidson,Zach Davidson,TE,,,,,,,,,0.0,27.0,2.0,,,
