player_id,player_name,positions,completion_pct,field_goal_attempts,field_goal_long,field_goal_pct,field_goals_made,fumbles,fumbles_lost,games_played,interceptions,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_long,pass_yards_per_attempt,passer_rating,passing_tds,passing_yards,passing_yards_per_game,points,pr_avg,pr_tds,punt_returns,rec_avg,rec_long,receiving_tds,receiving_yards,receiving_yards_per_game,receptions,receptions_per_game,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,rushing_yards_per_game,total_yards,xp_attempts,xp_made,xp_pct,yards_per_game
alstevis-squirewell,Alstevis Squirewell,FB,,,,,,3.0,2.0,12.0,,1.0,,,,,,,,,,,,,,,,4.0,14.0,22.0,1.0,56.0,14.0,4.0,1.0,2.8,12.0,21.0,1.0,59.0,14.8,115.0,,,,28.8
brandon-behr,Brandon Behr,,,8.0,31.0,50.0,4.0,,,57.0,,1.0,,,,,,,,,,,,,56.0,,,1.0,,,,1.0,,,,,,,,7.1,,0.0,52.0,44.0,85.0,0.0
cheatham-norrils,Cheatham Norrils,DB,0.0,,,,,,,7.0,1.0,3.4,,,,,1.0,0.0,0.0,0.0,-200.0,0.0,0.0,0.0,,,,24.0,-18.5,0.0,0.0,4.0,-5.3,2.0,0.3,,,,,20.0,,0.0,,,,0.0
connor-kaegi,Connor  Kaegi,QB,66.7,,,,,2.0,1.0,4.0,3.0,,,,,,48.0,32.0,41.0,6.2,161.1,8.0,297.0,74.3,,,,,,,,,,,,-1.4,1.0,7.0,0.0,-10.0,-2.5,,,,,
corey-henry,Corey Henry,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,0.0,,0.0,,,,0.0
damien-jacobs,Damien Jacobs,DL,,,,,,,,5.0,,1.4,,,,,,,,,,,,,,,,7.0,,,,2.0,,,,,,,,5.0,,0.0,,,,0.0
danny-southwick,Danny Southwick,QB,58.6,,,,,4.0,3.0,12.0,6.0,0.0,,,,,133.0,78.0,45.0,6.6,147.2,17.0,877.0,175.4,,,,0.0,,,,2.0,,,,-4.8,2.0,19.0,2.0,2.4,-18.4,0.0,,,,0.0
darrell-henderson,Darrell Henderson,FB/LB,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,2.0,,,,0.0,,,,,,,,2.0,,0.0,,,,0.0
devin-wilson,Devin Wilson,WR,,,,,,1.0,0.0,78.0,,9.0,,,,,,,,,,,,,,,,13.0,12.2,45.0,13.0,757.0,94.6,62.0,7.8,0.0,0.0,1.0,0.0,9.8,0.0,757.0,,,,94.6
hunter-sallila,Hunter Sallila,OL,,,,,,,,4.0,,5.0,,,,,,,,,,,,,,,,2.0,,,,0.0,,,,,,,,2.0,,0.0,,,,0.0
