player_id,player_name,positions,assist_tackles,completions,fg_30_39,fg_40_49,fg_att_game,int_long,int_tds,int_yards,interceptions_lost,interceptions_made,kick_returns,kr_long,kr_yards,pass_attempts,passing_tds,passing_yards,pr_fc,pr_long,pr_yards,punt_avg,punt_long,punt_returns,punt_yards,punts,punts_blocked,punts_in20,receiving_tds,receiving_yards,receptions,rush_attempts,rushing_tds,rushing_yards,sacks,solo_tackles,tackles,targets
adonis-jennings,Adonis Jennings,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,1.0,,,,,,,1.0
ahmad-dixon,Ahmad Dixon,DB/SAF,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,
ajene-harris,Ajene Harris,CB/DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,
andre-williams,Andre Williams,WR/RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,2.0,,,,,,
anthony-johnson,Anthony Johnson,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,
arrion-springs,Arrion Springs,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,
austin-rehkow,Austin Rehkow,P,,,,,,,,,,,,,,,,,,,,43.3,54.0,,130.0,3.0,2.0,2.0,,,,,,,,,,
beniquez-brown,Beniquez Brown,LB/DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,
brandon-barnes,Brandon Barnes,WR/TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,2.0,,,,,,,1.0
cam-phillips,Cam Phillips,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,67.0,4.0,,,,,,,3.0
carl-bradford,Carl Bradford,LB/DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,
caushaud-lyons,Caushaud Lyons,DT/DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,
cedric-reed,Cedric Reed,DL/DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,
chad-kanoff,Chad Kanoff,QB,,21.0,,,,,,,1.0,,,,,39.0,1.0,214.0,,,,,,,,,,,,,,4.0,1.0,21.0,,,,
cody-brown,Cody Brown,DB/S/SAF,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,8.0,
corey-crawford,Corey Crawford,DB/OL/DL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2.0,3.0,
dc-defenders,DC Defenders,,,,,,,6.0,31.0,9.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
dallas,Dallas,,,,,,,,9.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deangelo-henderson,De'Angelo Henderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,-6.0,,,,
demarquis-gates,DeMarquis Gates,LB/DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,
deatrick-nichols,Deatrick Nichols,CB/DB,,,,,,10.0,,10.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,5.0,
drew-lewis,Drew Lewis,LB/DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
dujuan-harris,DuJuan Harris,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,6.0,,,,
edmond-robinson,Edmond Robinson,LB/DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,
elijah-hood,Elijah Hood,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,43.0,,1.0,1.0,
gabe-wright,Gabe Wright,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
houston,Houston,,,,,,,11.0,37.0,12.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
jack-tocho,Jack Tocho,DB/SAF,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,
jalan-mcclendon,Jalan McClendon,QB,,1.0,,,,,,,1.0,,,,,4.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,
