player_id,player_name,positions,def_int,def_sack,def_solo,def_tot,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_p,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
ac-leonard,A.C. Leonard,DL/DB,,1.0,4.0,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
antonio-longino,Antonio Longino,DL/LB,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bj-cunningham,B.J. Cunningham,WR,,,1.0,1.0,,,,,,,,,,43.0,5.0,10.0,,33.0,87.0,,,,,,,,,,,,,,,,,,,
bakari-grant,Bakari Grant,WR,,,,,,,,,,,,,,14.0,2.0,4.0,,17.0,26.0,,,,,,,,,,,,,,,,,,,
branden-dozier,Branden Dozier,DB,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brandon-bridge,Brandon Bridge,QB,,,,,,15.0,10.0,1.0,28.0,,,,124.0,,,,,,,,,,,,1.0,17.0,,17.0,,,,,,,,,,
brandon-stewart,Brandon Stewart,DB,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caleb-holley,Caleb Holley,WR,,,,,,,,,,,,,,,3.0,3.0,1.0,37.0,83.0,,,,,,,,,,1.0,6.0,,1.0,,,,,,
chad-owens,Chad Owens,WR,,,,,,,,,,,,,,25.0,9.0,12.0,1.0,42.0,114.0,,,,,,3.0,9.0,,22.0,1.0,6.0,,1.0,,,,,,
christion-jones,Christion Jones,RB,,,,,,,,,,,,,,6.0,1.0,1.0,,6.0,6.0,40.0,1.0,,,40.0,,,,,,,,,,,,,,
crezdon-butler,Crezdon Butler,DB,,2.0,5.0,5.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
darian-durant,Darian Durant,QB,,,,,,20.0,9.0,1.0,43.0,6.0,1.0,,126.0,,,,,,,,,,,,,,,,,,,,,,,,,
don-oramasionwu,Don Oramasionwu,DB/DT,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drew-willy,Drew Willy,QB,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
duron-carter,Duron Carter,DB,,,1.0,1.0,,,,,,,,,,6.0,1.0,3.0,,2.0,6.0,,,,,,,,,,,,,,,,,,,
ed-gainey,Ed Gainey,DB,1.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ernest-jackson,Ernest Jackson,WR,,,,,,,,,,,,,,6.0,1.0,4.0,,1.0,6.0,,,,,,,,,,,,,,,,,,,
fabion-foote,Fabion Foote,DL/DB,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
