player_id,player_name,positions,def_sack,def_solo,def_tot,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_yds,score_p,score_pts,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
adarius-pickett,Adarius Pickett,DB/LB,,,,,,,,,,,,,,,,,,,17.0,2.0,,,31.0,,,,,,,,,,,,
ahmad-thomas,Ahmad Thomas,DB/LB,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
almondo-sewell,Almondo Sewell,DT/DB,1.0,1.0,1.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chris-ackie,Chris Ackie,DB/LB,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
christophe-normand,Christophe Normand,RB/FB,,,,,,,,,,,,,8.0,1.0,1.0,,8.0,8.0,,,,,,,,,,,,,,,,,
david-côté,David Côté,K,,,,,,,,,,,,,,,,,,,60.0,3.0,3.0,60.0,120.0,,,,,7.0,,2.0,2.0,45.0,7.0,1.0,1.0
david-ménard,David Ménard,DB,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eugene-lewis,Eugene LEWIS,WR,,,,,,,,,,,,,21.0,5.0,8.0,1.0,5.0,54.0,,,,,,,,,1.0,6.0,1.0,,,,,,
greg-reid,Greg Reid,DB,1.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jake-wieneke,Jake Wieneke,WR,,,,,,,,,,,,,34.0,1.0,3.0,,4.0,34.0,,,,,,,,,,,,,,,,,
jamal-davis,Jamal Davis,DB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
joe-zema,Joe Zema,DB,,,,,,,,,,,,,,,,,,,67.0,6.0,3.0,2.0,260.0,,,,,1.0,,,,,,,
landon-rice,Landon Rice,T/OL,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
martese-jackson,Martese Jackson,RB,,,,,,,,,,,,,,,,,,,16.0,1.0,,,16.0,,,,,,,,,,,,
matthew-shiltz,Matthew Shiltz,QB,,,,,13.0,7.0,1.0,31.0,17.0,3.0,,106.0,,,,,,,,,,,,4.0,7.0,11.0,,,,,,,,,
michael-wakefield,Michael Wakefield,DB/DL,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monshadrik-hunter,Monshadrik Hunter,DB,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
najee-murray,Najee Murray,DB/CB/LB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nick-usher,Nick Usher,DB/DL,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
patrick-levels,Patrick Levels,DB/LB,1.0,4.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quan-bray,Quan Bray,RB/WR,,,,,,,,,,,,,16.0,3.0,5.0,,19.0,34.0,6.0,1.0,,,6.0,,,,,,,,,,,,
reggie-white,Reggie White,WR,,,,,,,,,,,,,31.0,5.0,7.0,,39.0,74.0,,,,,,,,,,,,,,,,,
rodney-randle,Rodney Randle,DB,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trevor-harris,Trevor HARRIS,QB,,,,,15.0,12.0,,34.0,14.0,2.0,1.0,123.0,,,,,,,,,,,,3.0,14.0,31.0,,,,,,,,,
ty-cranston,Ty Cranston,DB,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
william-stanback,William STANBACK,RB,,,,,,,,,,,,,14.0,4.0,4.0,,19.0,25.0,,,,,,19.0,19.0,80.0,,,,,,,,,
woody-baron,Woody Baron,DB/DL,2.0,2.0,2.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
