player_id,player_name,positions,assists,blocks,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,stalls,throwAttempts,throwaways,yardsReceived,yardsThrown
becker-mathie,Becker Mathie,P,,1.0,11.0,10.0,1.0,,,,,,12.0,1.0,64.0,71.0
brandon-matis,Brandon Matis,P,,2.0,5.0,3.0,,1.0,,,,,4.0,1.0,108.0,-9.0
bret-bergmeier,Bret Bergmeier,P,1.0,,3.0,3.0,,,,,,,3.0,,56.0,6.0
bryan-vohnoutka,Bryan Vohnoutka,P,1.0,1.0,17.0,14.0,,1.0,2.0,,,,16.0,2.0,80.0,104.0
charlie-furse,Charlie Furse,P,2.0,,20.0,17.0,,1.0,,,,,19.0,1.0,93.0,96.0
christian-johnson,Christian Johnson,P,,2.0,14.0,12.0,2.0,1.0,2.0,,,,14.0,1.0,83.0,105.0
colin-berry,Colin Berry,P,1.0,,12.0,10.0,2.0,1.0,2.0,1.0,,,12.0,2.0,130.0,121.0
dex-dremann,Dex Dremann,P,3.0,,19.0,23.0,2.0,,1.0,1.0,10.0,,25.0,2.0,81.0,111.0
didzis-malderis,Didzis Malderis,P,,1.0,9.0,9.0,,1.0,,,,,10.0,1.0,34.0,20.0
dylan-declerck,Dylan DeClerck,P,1.0,1.0,10.0,4.0,,5.0,,,,,5.0,,202.0,14.0
jace-bruner,Jace Bruner,P,1.0,4.0,10.0,8.0,,4.0,,,,,8.0,,81.0,46.0
jack-shanahan,Jack Shanahan,P,1.0,1.0,11.0,14.0,,1.0,,,,,17.0,2.0,0.0,33.0
jim-karl,Jim Karl,P,,,1.0,2.0,,,,,,,2.0,,1.0,9.0
john-jones,John Jones,P,,,2.0,1.0,,1.0,,,,,1.0,,4.0,8.0
jordan-taylor,Jordan Taylor,P,2.0,,7.0,6.0,,,,1.0,,,7.0,1.0,84.0,88.0
josh-klane,Josh Klane,P,2.0,,27.0,28.0,,,,1.0,,,32.0,4.0,57.0,148.0
marco-dregni,Marco Dregni,P,,,10.0,8.0,,1.0,2.0,,,,9.0,1.0,74.0,41.0
marty-adams,Marty Adams,P,,,12.0,10.0,,,1.0,,,,11.0,1.0,85.0,11.0
michael-jordan,Michael Jordan,P,,1.0,5.0,5.0,,1.0,1.0,,,,5.0,,41.0,39.0
michael-petersen,Michael Petersen,P,4.0,1.0,7.0,13.0,1.0,1.0,1.0,2.0,10.0,,14.0,1.0,11.0,150.0
nick-longo,Nick Longo,P,,,5.0,3.0,3.0,,,,,,5.0,1.0,59.0,18.0
nico-lake,Nico Lake,P,2.0,1.0,17.0,19.0,1.0,,,,,,20.0,1.0,58.0,128.0
paul-krenik,Paul Krenik,P,2.0,,7.0,4.0,,3.0,,,,,4.0,,154.0,21.0
quinn-snider,Quinn Snider,P,,2.0,14.0,11.0,,4.0,,,,,11.0,,192.0,16.0
ross-barker,Ross Barker,P,2.0,1.0,21.0,17.0,2.0,1.0,,,,,21.0,2.0,166.0,82.0
sam-berglund,Sam Berglund,P,4.0,,12.0,25.0,,,2.0,3.0,12.0,,32.0,6.0,14.0,356.0
sam-kaminsky,Sam Kaminsky,P,,,26.0,32.0,,,3.0,,,1.0,43.0,8.0,30.0,28.0
tanner-barcus,Tanner Barcus,P,,2.0,7.0,6.0,,2.0,2.0,,,,6.0,,25.0,59.0
tavis-leighton,Tavis Leighton,P,,,10.0,10.0,,1.0,1.0,,,,12.0,1.0,7.0,67.0
tristan-van-de-moortele,Tristan Van de Moortele,P,,1.0,16.0,24.0,,,1.0,,1.0,,26.0,2.0,17.0,95.0
tyler-mitchuson,Tyler Mitchuson,P,,1.0,3.0,2.0,,1.0,,,5.0,,3.0,1.0,18.0,2.0
tyler-thomegreene,Tyler Thomegreene,P,,,13.0,13.0,,1.0,,,,,15.0,2.0,6.0,48.0
zach-kieffer,Zach Kieffer,P,1.0,1.0,5.0,6.0,1.0,,1.0,1.0,,,7.0,1.0,49.0,16.0
