player_id,player_name,positions,def_int,def_lg,def_sack,def_solo,def_tot,def_yds,def_ydsl,misc_td,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_fr,score_p,score_pts,score_r,score_saf,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
aaron-grymes,Aaron Grymes,DB,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adam-bighill,Adam Bighill,LB,,,1.0,2.0,2.0,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andrew-harris,Andrew Harris,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,10.0,,73.0,,,,,,,,,,,,
anthony-gaitor,Anthony Gaitor,DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branden-dozier,Branden Dozier,DB,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bryan-burnham,Bryan Burnham,WR,,,,,,,,,,,,,,,,,25.0,4.0,5.0,,7.0,46.0,,,,,,,,,,,,,,,,,,,,,
chandler-fenner,Chandler Fenner,DB,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chris-edwards,Chris Edwards,DB/LB,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chris-matthews,Chris Matthews,WR,,,,,,,,,,,,,,,,,51.0,2.0,3.0,,9.0,61.0,,,,,,,,,,,,,,,,,,,,,
chris-streveler,Chris STREVELER,QB,,,,1.0,1.0,,,,3.0,,1.0,,,,,,,,,,,,,,,,,6.0,8.0,,23.0,,,,,,,,,,,,
craig-roh,Craig Roh,DB/DL,,,1.0,1.0,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crezdon-butler,Crezdon Butler,DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
david-ménard,David Ménard,DB,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
derek-jones,Derek Jones,DB,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,,,6.0,,,,,,,,,,,,,,,,
drake-nevis,Drake Nevis,DB/DL,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
