player_id,player_name,positions,match_loss,match_played,match_win,team_points_against,team_points_for
alexander-qvist,Alexander Qvist,,1.0,1.0,0.0,6.0,5.0
andrea-gilli,Andrea Gilli,,0.0,1.0,1.0,5.0,6.0
cesare-spiller,Cesare Spiller,,0.0,1.0,1.0,5.0,6.0
francesco-vigliani,Francesco Vigliani,,0.0,1.0,1.0,5.0,6.0
jacob-schmidt,Jacob Schmidt,,1.0,1.0,0.0,6.0,5.0
jonathan-vilandt,Jonathan Vilandt,,1.0,1.0,0.0,6.0,5.0
kasper-jurlander-boege,Kasper Jurlander Boege,,1.0,1.0,0.0,6.0,5.0
nikki-jensen,Nikki Jensen,,1.0,1.0,0.0,6.0,5.0
stefano-gilli,Stefano Gilli,,0.0,1.0,1.0,5.0,6.0
stefano-spiller,Stefano Spiller,,0.0,1.0,1.0,5.0,6.0
