player_id,player_name,positions,def_ast,def_sack,def_solo,def_tot,def_ydsl
aaron-grymes,Aaron Grymes,DB,1.0,0.5,3.0,4.0,3.0
devonta-glover-wright,Devonta Glover-Wright,DB,,,1.0,1.0,
mitchell-white,Mitchell White,DB,1.0,,2.0,3.0,
