player_id,player_name,positions,def_int,def_sack,def_solo,def_tot,def_ydsl,misc_td,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_conv,score_fr,score_p,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
ac-leonard,A.C. Leonard,DB/DL,,1.0,4.0,4.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adam-bighill,Adam Bighill,LB,,,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andrew-harris,Andrew Harris,RB,,,,,,,,,,,,,,,5.0,3.0,6.0,,9.0,11.0,,,,,,12.0,16.0,1.0,72.0,,,,6.0,1.0,1.0,,,,,,
anthony-cioffi,Anthony Cioffi,DB/SAF/LB,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
antoine-pruneau,Antoine Pruneau,DB,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avery-williams,Avery Williams,LB,,,3.0,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,6.0,,1.0,,,,,,
brad-sinopoli,Brad Sinopoli,WR,,,,,,,,,,,,,,,23.0,3.0,6.0,,3.0,51.0,,,,,,,,,,,,,,,,,,,,,
brandon-alexander,Brandon Alexander,DB,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brendan-gillanders,Brendan Gillanders,RB,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,3.0,,,,,,,,,,,,
chandler-fenner,Chandler Fenner,DB,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chris-randle,Chris Randle,DB,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chris-streveler,Chris STREVELER,QB,,,,,,,5.0,4.0,,12.0,,,,36.0,,,,,,,,,,,,1.0,3.0,,3.0,,,,,,,,,,,,
corey-tindal,Corey Tindal,DB,,1.0,3.0,3.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cory-johnson,Cory Johnson,DB/DT,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
