player_id,player_name,positions,3pt_pass,conversions,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
adrian-martinez,Adrian Martinez,QB,,3.0,,,0.0,,,,4.0,368.0,,,,,0.0,25.0,
amari-rodgers,Amari Rodgers,WR,,,,,,,,,,,,0.0,12.0,1.0,,,
binjimen-victor,Binjimen Victor,WR,,,,,,,,,,,,0.0,16.0,2.0,,,
cj-marable,CJ Marable,RB,,,,,,,,,,,,1.0,12.0,4.0,0.0,31.0,
case-cookus,Case Cookus,QB,,,,,0.0,,2.0,,1.0,115.0,,,,,0.0,4.0,
cyrus-habibi-likio,Cyrus Habibi-Likio,RB,,,,,,,,,,,,,,,0.0,2.0,
daewood-davis,Daewood Davis,WR,,,,,,,,,,,,0.0,43.0,5.0,,,
darius-victor,Darius Victor,RB,,,,,,,,,,,,0.0,9.0,3.0,0.0,42.0,
dee-anderson,Dee Anderson,WR,1.0,,,,,,,,,,,1.0,34.0,1.0,,,
deon-cain,Deon Cain,WR,,,,,,,,,,,,0.0,45.0,2.0,,,
jace-sternberger,Jace Sternberger,TE,,,,,,,,,,,,0.0,35.0,2.0,,,
jared-thomas,Jared Thomas,C/OC,,3.0,,,,,,,,,,,,,,,
jonathan-adams,Jonathan Adams,WR,,,,,,,,,,,,0.0,36.0,3.0,,,
jordan-thomas-2,Jordan Thomas,TE,,3.0,,,,,,,,,,0.0,33.0,1.0,,,
kevin-austin-jr,Kevin Austin Jr.,WR,,,,,,,,,,,,1.0,108.0,4.0,,,
lee-morris,Lee Morris,WR,,,,,,,,,,,,0.0,1.0,2.0,,,
madre-harper,Madre Harper,CB,,,,,,,,,,,,,,,0.0,1.0,
marcus-baugh,Marcus Baugh,TE/WR,,,,,,,,,,,,0.0,45.0,2.0,,,
marlon-williams,Marlon Williams,WR,,,,,,,,,,,,2.0,58.0,4.0,0.0,13.0,
matt-coghlin,Matt Coghlin,K,,,92.0,,,,,,,,,,,,,,
ricky-person-jr,Ricky Person Jr.,RB,,,,,,,,,,,,0.0,4.0,1.0,1.0,29.0,
showboats-k,SHOWBOATS K,K,,,92.0,,,,,,,,,,,,,,
showboats-qb,SHOWBOATS QB,QB,1.0,,,,1.0,,2.0,,2.0,180.0,,,,,0.0,15.0,
sage-surratt,Sage Surratt,TE,,,,,,,,,,,,1.0,10.0,1.0,,,
showboats-dst,Showboats DST,DST,,,,,,0.0,,,,,39.0,,,,,,1.0
stallions-dst,Stallions DST,DST,,,,2.0,,1.0,,,,,21.0,,,,,,3.0
stallions-k,Stallions K,K,,,45.0,,,,,1.0,,,,,,,,,
stallions-qb,Stallions QB,QB,,3.0,,,0.0,,,,4.0,368.0,,,,,0.0,25.0,
titus-swen,Titus Swen,RB,,,,,,,,,,,,0.0,6.0,1.0,,,
troy-williams,Troy Williams,QB,1.0,,,,1.0,,,,1.0,65.0,,,,,0.0,11.0,
vinny-papale,Vinny Papale,WR,,,,,,,,,,,,0.0,30.0,4.0,,,
wes-saxton-jr,Wes Saxton Jr.,TE,,,,,,,,,,,,0.0,11.0,1.0,,,
