player_id,player_name,positions,assists,blocks,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,stalls,throwAttempts,throwaways,yardsReceived,yardsThrown
andrew-meshnick,Andrew Meshnick,P,,1.0,,,,,,,,,,,,
anthony-gutowsky,Anthony Gutowsky,P,,,10.0,4.0,,5.0,1.0,,,,5.0,1.0,117.0,-14.0
avery-johnson,Avery Johnson,P,1.0,,13.0,11.0,,2.0,,,,,11.0,,163.0,-11.0
ben-close,Ben Close,P,,,5.0,6.0,,,1.0,,,,6.0,,58.0,-6.0
ben-landry,Ben Landry,P,,,13.0,10.0,,3.0,1.0,,,1.0,10.0,,169.0,56.0
cameron-brock,Cameron Brock,P,3.0,,20.0,17.0,,3.0,1.0,,,,17.0,,264.0,28.0
carter-hawkins,Carter Hawkins,P,3.0,,17.0,19.0,,,1.0,,,,19.0,,6.0,161.0
conner-henderson,Conner Henderson,P,1.0,,7.0,8.0,,,2.0,,,,9.0,1.0,52.0,11.0
daniel-garlock,Daniel Garlock,P,1.0,,11.0,9.0,,,2.0,,2.0,,12.0,3.0,44.0,64.0
david-nester,David Nester,P,,,,,1.0,,,,,,,,,
fletcher-hare,Fletcher Hare,P,,,3.0,4.0,,1.0,,,,,4.0,,37.0,10.0
henry-goldenberg,Henry Goldenberg,P,3.0,,58.0,64.0,,1.0,1.0,,,,66.0,2.0,157.0,278.0
jack-kelly,Jack Kelly,P,1.0,,13.0,12.0,,2.0,2.0,,,,12.0,,84.0,66.0
jake-carrico,Jake Carrico,P,1.0,,,1.0,,,,,,,1.0,,,15.0
jeffrey-burris,Jeffrey Burris,P,,,1.0,1.0,,,,,,,1.0,,-2.0,8.0
jeremy-keusch,Jeremy Keusch,P,1.0,,20.0,16.0,1.0,3.0,2.0,,,,17.0,1.0,125.0,43.0
joe-leibforth,Joe Leibforth,P,1.0,,3.0,4.0,,,,,,,4.0,,2.0,-1.0
joel-close,Joel Close,P,,,1.0,2.0,,,1.0,,,,2.0,,16.0,-14.0
joshua-wilson,Joshua Wilson,P,2.0,2.0,20.0,24.0,,2.0,3.0,1.0,3.0,,25.0,,58.0,176.0
kai-delorenzo,Kai DeLorenzo,P,,1.0,6.0,6.0,,,,,13.0,,6.0,,-3.0,27.0
keegan-north,Keegan North,P,6.0,,45.0,50.0,1.0,1.0,,4.0,,,51.0,,163.0,307.0
kelsen-alexander,Kelsen Alexander,P,2.0,,10.0,11.0,,1.0,1.0,1.0,,,12.0,1.0,45.0,92.0
levi-jacobs,Levi Jacobs,P,2.0,,14.0,11.0,,3.0,1.0,1.0,,,11.0,,258.0,77.0
lucas-coniaris,Lucas Coniaris,P,,,6.0,4.0,,3.0,,,,,4.0,,45.0,23.0
luke-marks,Luke Marks,P,2.0,,5.0,6.0,,,,,5.0,,6.0,,57.0,26.0
nick-hutton,Nick Hutton,P,1.0,2.0,4.0,6.0,1.0,,,1.0,5.0,,6.0,,-18.0,90.0
nico-ranabhat,Nico Ranabhat,P,,2.0,8.0,4.0,,4.0,1.0,,,,4.0,,129.0,-9.0
rick-gross,Rick Gross,P,,,33.0,30.0,,2.0,3.0,,,,31.0,1.0,108.0,152.0
sam-stark,Sam Stark,P,1.0,,10.0,8.0,,1.0,1.0,,,,9.0,1.0,102.0,34.0
seth-gudeman,Seth Gudeman,P,1.0,1.0,8.0,7.0,,1.0,2.0,,,,7.0,,41.0,20.0
sterling-knoche,Sterling Knoche,P,,2.0,4.0,3.0,,2.0,,,,,3.0,,37.0,8.0
ted-schewe,Ted Schewe,P,3.0,,36.0,33.0,,2.0,2.0,,,,35.0,2.0,239.0,104.0
thomas-coolidge,Thomas Coolidge,P,1.0,,21.0,21.0,,,1.0,,,,21.0,,101.0,27.0
travis-carpenter,Travis Carpenter,P,,,31.0,40.0,,,4.0,1.0,,,41.0,1.0,107.0,318.0
victor-luo,Victor Luo,P,3.0,,53.0,61.0,,,,1.0,1.0,,63.0,2.0,-51.0,421.0
will-quigley,Will Quigley,P,,,4.0,4.0,,1.0,2.0,,,,4.0,,44.0,-17.0
will-wettengel,Will Wettengel,P,1.0,3.0,3.0,2.0,,1.0,,,,,3.0,1.0,55.0,15.0
xavier-payne,Xavier Payne,P,4.0,1.0,59.0,59.0,,,1.0,,,,63.0,3.0,50.0,294.0
