player_id,player_name,positions,extra_point,field_goal_yards,interceptions_lost,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
aj-ouellette,A.J. OUELLETTE,RB,,,,,,,,33.0,3.0,,34.0,,
albert-awachie,Albert Awachie,FB/RB,,,,,,,0.0,7.0,1.0,,,,
andrew-harris,Andrew Harris,RB,,,,,,,0.0,0.0,0.0,0.0,41.0,,
boris-bede,Boris Bede,K,2.0,104.0,,,,,,,,,,,
brayden-lenius,Brayden Lenius,WR,,,,,,,0.0,12.0,2.0,,,,
brett-lauther,Brett LAUTHER,K,1.0,83.0,,,,,,,,,,,
cam-phillips,Cam Phillips,WR,,,,,,,0.0,38.0,4.0,,,,
cameron-dukes,Cameron Dukes,QB,,,0.0,0.0,0.0,,,,,,,,
chad-kelly,Chad KELLY,QB,,,1.0,1.0,122.0,,,,,0.0,4.0,,
davaris-daniels,DaVaris DANIELS,WR,,,,,,,0.0,34.0,2.0,,,,
dejon-brissett,Dejon BRISSETT,WR,,,,,,,1.0,5.0,2.0,,,,
frankie-hickson,Frankie Hickson,RB,,,,,,,0.0,0.0,0.0,0.0,8.0,,
jake-dolegala,Jake Dolegala,QB,,,0.0,1.0,100.0,,,,,0.0,5.0,,
jake-wieneke,Jake Wieneke,WR,,,,,,,0.0,13.0,1.0,,,,
jamal-morrow,Jamal Morrow,RB,,,,,,,0.0,2.0,3.0,0.0,41.0,,
javon-leake,Javon LEAKE,RB,,,,,,,,,,0.0,11.0,,
kurleigh-gittens-jr,Kurleigh GITTENS JR.,WR,,,,,,,,12.0,2.0,,,,
larry-dean,Larry Dean,LB,,,,,,,,,,,,,3.0
mason-fine,Mason Fine,QB,,,2.0,0.0,302.0,,,,,0.0,4.0,,
pete-robertson,Pete Robertson,DL/DB,,,,,,,,,,,,1.0,5.0
ssk-dst,SSK DST,DST,,,,,,31.0,,,,,,1.0,
ssk-k,SSK K,K,1.0,83.0,,,,,,,,,,,
ssk-qb,SSK QB,QB,,,2.0,1.0,402.0,,,,,,5.0,,
samuel-emilus,Samuel Emilus,WR,,,,,,,0.0,91.0,5.0,,,,
shawn-bane-jr,Shawn Bane Jr.,WR,,,,,,,1.0,144.0,10.0,,,,
tor-dst,TOR DST,DST,,,,,,13.0,,,,,,5.0,
tor-k,TOR K,K,2.0,104.0,,,,,,,,,,,
tor-qb,TOR QB,QB,,,1.0,1.0,122.0,,,,,,4.0,,
tevin-jones,Tevin JONES,WR,,,,,,,0.0,133.0,9.0,,,,
