player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_runouts,match_played
a-argyropoulou,A Argyropoulou,,16.0,1.0,0.0,1.0,12.0,0.0,,,,,,,,1.0
a-makri,A Makri,,9.0,1.0,0.0,5.0,7.0,0.0,18.0,0.0,1.0,27.0,0.0,1.0,,1.0
a-savvani,A Savvani,,24.0,1.0,0.0,2.0,13.0,0.0,12.0,0.0,0.0,21.0,0.0,2.0,,1.0
a-thorpe,A Thorpe,,,,,,,,18.0,0.0,1.0,17.0,0.0,7.0,,1.0
b-murtagh,B Murtagh,,,,,,,,18.0,0.0,0.0,22.0,1.0,5.0,,1.0
c-perry,C Perry,,,,,,,,24.0,0.0,0.0,17.0,0.0,1.0,1.0,1.0
ds-vlachopoulou,DS Vlachopoulou,,2.0,0.0,0.0,8.0,1.0,0.0,,,,,,,,1.0
danielle-murphy,Danielle Murphy,,,,,,,,12.0,0.0,1.0,5.0,1.0,1.0,,1.0
e-cleator,E Cleator,,,,,,,,,,,,,,1.0,1.0
joanne-hicks,Joanne Hicks,,,,,,,,24.0,0.0,0.0,9.0,2.0,1.0,,1.0
k-carney,K Carney,,26.0,1.0,1.0,2.0,22.0,0.0,,,,,,,,1.0
l-barnett,L Barnett,,38.0,8.0,1.0,1.0,56.0,0.0,24.0,0.0,1.0,14.0,1.0,0.0,1.0,1.0
m-polimeri,M Polimeri,,4.0,0.0,0.0,6.0,1.0,0.0,,,,,,,,1.0
m-syrioti,M Syrioti,,44.0,0.0,0.0,3.0,19.0,0.0,18.0,0.0,2.0,24.0,0.0,4.0,,1.0
m-vervitsioti,M Vervitsioti,,14.0,0.0,0.0,7.0,4.0,0.0,12.0,0.0,0.0,16.0,0.0,4.0,,1.0
r-webster,R Webster,,,,,,,,,,,,,,2.0,1.0
s-georgota,S Georgota,,8.0,1.0,0.0,4.0,7.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,,1.0
t-parisi-mesimeri,T Parisi-mesimeri,,2.0,0.0,1.0,9.0,0.0,0.0,,,,,,,,1.0
