player_id,player_name,positions,interceptions,interceptions_lost,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
albany-qb,ALBANY QB,QB,,,8.0,296.0,,,,,15.0
corpus-christi-qb,CORPUS CHRISTI QB,QB,,3.0,4.0,241.0,,,,,11.0
darien-townsend,DARIEN TOWNSEND,WR,,,,,2.0,104.0,6.0,,
duane-brown,DUANE  BROWN,WR,,,,,3.0,113.0,8.0,,
desmond-maxwell,Desmond  Maxwell,RB/FB/LB,,,,,,,,0.0,17.0
fred-payton,Fred Payton,QB,,3.0,4.0,241.0,,,,,11.0
isaiah-scott,Isaiah Scott,WR,,,,,1.0,31.0,5.0,,
marquel-wade,MARQUEL WADE,WR,,,,,1.0,47.0,3.0,,
quintavius-workman,Quintavius Workman,WR,,,,,3.0,85.0,12.0,,
robert-mccoy-jr,Robert Mccoy Jr,QB,0.0,,1.0,20.0,,,,0.0,15.0
sam-castronova,Sam Castronova,QB,0.0,,7.0,276.0,,,,,
