player_id,player_name,positions,interceptions,passing_tds,passing_yards,rushing_tds,rushing_yards
jeremy-reynolds,Jeremy Reynolds,K,0.0,0.0,48.0,0.0,5.0
jevin-frett,Jevin Frett,WR,,,,0.0,45.0
