player_id,player_name,positions,assisted_tackles,fg_attempts,field_goal_long,field_goals_made,forced_fumbles,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
aaron-aiken,Aaron Aiken,QB,0.0,,,,,,,,,0.0,,,,,,,,,,,,24.0,13.0,1.0,33.0,2.0,142.0,,,,,,2.0,6.0,12.0,1.0,24.0,,,0.0,0.0,,,,
alex-steiner,Alex Steiner,K,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,6.0,,,,
andre-white-jr,Andre White Jr.,,4.0,,,,,1.0,0.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,9.0,1.0,6.0,10.0,1.0,0.0,,
brad-namdar,Brad Namdar,K,0.0,,,,,,,,,,3.0,,,,,,,7.3,12.0,0.0,22.0,,,,,,,9.5,11.0,0.0,19.0,2.0,2.1,8.0,7.0,0.0,15.0,,,1.0,1.0,1.0,0.0,,
carlton-watkins,Carlton Watkins,DB,,1.0,18.0,1.0,,,,,,,,11.0,50.0,0.0,2.0,450.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0
cedric-hearvey,Cedric Hearvey,DL,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,
chris-elmore,Chris  Elmore,RB,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,3.0,3.0,,,,
daniel-williams,Daniel Williams,WR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.5,0.0,,
dee-reese,Dee Reese,DB,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,10.8,33.0,0.0,43.0,4.0,4.0,4.0,1.0,0.0,4.0,,,,,,,,
devin-groenhagen,Devin Groenhagen,DL,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,17.0,0.0,30.0,2.0,2.0,2.0,1.0,1.0,2.0,,,,,,,,
dren-johnson,Dren Johnson,DB,,,,,,,,,,0.0,,,,,,,,,,,,9.0,6.0,,21.0,0.0,49.0,,,,,,9.0,9.0,1.0,1.0,9.0,,,,,,,,
drew-prohaska,Drew Prohaska,RB,0.0,,,,,,,,,0.0,,,,,,,,,,,,10.0,7.0,,40.0,2.0,120.0,,,,,,6.3,12.0,6.0,1.0,38.0,,,1.0,1.0,,,,
fred-flavors,Fred Flavors,,0.0,,,,1.0,,,,,,2.0,,,,,,,27.5,50.0,1.0,55.0,,,1.0,,,,,,,,,,,,,,,,4.0,4.0,,,,
geovonte-howard-injured-reserve,Geovonte Howard (Injured Reserve),DB,1.0,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
jadon-johnson,Jadon Johnson,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8,40.0,1.0,59.0,4.0,,,,,,,,,,,,,
jalal-dean,Jalal Dean,WR,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,12.8,29.0,2.0,77.0,6.0,,,,,,,,,,,,,
jalen-hicks,Jalen Hicks,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,2.0,,,,
james-riddle,James Riddle,LB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
james-taylor,James Taylor,OL,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,,,,
jan-bogdan,Jan Bogdan,K,,1.0,0.0,0.0,,,,,,,,1.0,50.0,0.0,2.0,200.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0
jimmy-villa,Jimmy Villa,ATH,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
josh-jackson,Josh Jackson,DL/P,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,21.0,0.0,21.0,1.0,,,,,,,,0.0,1.0,,,,
kevin-wade,Kevin Wade,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,0.0,1.0,0.0,-1.0,,,,,,,,
klayton-batten,Klayton Batten,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,6.0,1.0,0.0,,
lakedrick-holmes,Lakedrick Holmes,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,0.0,10.0,1.0,,,,,,,,1.0,1.0,,,,
miqueal-pillow-smiley,Miqueal Pillow-Smiley,DL,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,11.0,0.0,20.0,3.0,3.9,12.0,11.0,2.0,43.0,,,,,,,,
nathan-rosario-santos,Nathan Rosario Santos,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,7.0,,,,
noah-bodden,Noah Bodden,,,,,,,,,,,0.0,,,,,,,,,,,,4.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
ravonte-blowe,Ravonte Blowe,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,7.0,,,,
sam-hammond,Sam Hammond,DL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,,,,
thomas-kadera,Thomas Kadera,WR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,
thurlow-wilkins,Thurlow Wilkins,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,29.0,1.0,39.0,3.0,,,,,,,,,,,,,
tracy-brooks,Tracy Brooks,RB,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,2.0,,,,
trey-taylor,Trey Taylor,P,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,2.5,0.0,,
