player_id,player_name,positions,interceptions_lost,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
dalton-cole,Dalton Cole,QB,1.0,4.0,170.0,,,,1.0,8.0
edward-smith,Edward Smith,WR,,,,2.0,33.0,3.0,,
kris-lewis,Kris Lewis,WR,,,,,26.0,2.0,,
maurice-ashley,Maurice Ashley,WR,,,,1.0,12.0,1.0,,18.0
oregon-qb,OREGON QB,QB,1.0,4.0,170.0,,,,,8.0
parker-lapsley,Parker Lapsley,RB,,,,,,,,3.0
richy-anderson,Richy Anderson,WR,,,,1.0,61.0,6.0,,
salina-qb,SALINA QB,QB,,5.0,92.0,,,,,
tracy-brooks,Tracy Brooks,RB,,,,,,1.0,2.0,52.0
