player_id,player_name,positions,1pt_conversion,blocked_punt,conversions,dst_touchdown,field_goal_yards,interceptions_lost,interceptions_made,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
anthony-mcfarland-jr,Anthony McFarland Jr,RB,,,,,,,,,,,,1.0,21.0,2.0,0.0,54.0,
bt-potter,B.T. Potter,K,,,,,62.0,,,1.0,,,,,,,,,
brahmas-dst,Brahmas DST,DST,,1.0,,1.0,,,1.0,,,,26.0,,,,,,1.0
brahmas-k,Brahmas K,K,,,,,124.0,,,1.0,,,,,,,,,
brahmas-qb,Brahmas QB,QB,,,,,,0.0,,,1.0,152.0,,,,,0.0,39.0,
bryce-perkins,Bryce Perkins,QB,1.0,,,,,1.0,,,0.0,193.0,,,,,2.0,30.0,
cole-hikutini,Cole Hikutini,TE,,,,,,,,,,,,0.0,13.0,1.0,,,
danny-etling,Danny Etling,QB,,,,,,0.0,,,0.0,21.0,,,,,,,
devin-ross,Devin Ross,WR,,,,,,,,,,,,0.0,51.0,3.0,,,
donald-de-la-haye,Donald De La Haye,K,,,,,124.0,,,1.0,,,,,,,,,
greg-ward,Greg Ward,WR,,,,,,,,,,,,0.0,26.0,4.0,0.0,4.0,
gunnar-oakes,Gunnar Oakes,TE,,,,,,,,,,,,0.0,8.0,1.0,,,
jacob-harris,Jacob Harris,WR,,,,,,,,,,,,0.0,56.0,4.0,,,
jaden-shirden,Jaden Shirden,RB,,,,,,,,,,,,,,,1.0,59.0,
jashaun-corbin,Jashaun Corbin,RB,,,1.0,,,,,,,,,,,,0.0,10.0,
jaylon-moore-2,Jaylon Moore,WR,,,,,,,,,,,,0.0,24.0,2.0,,,
john-lovett,John Lovett,RB,,,,,,,,,,,,0.0,7.0,1.0,0.0,18.0,
jontre-kirklin,Jontre Kirklin,WR,,,,,,,,,,,,0.0,27.0,5.0,,,
kellen-mond,Kellen Mond,QB,,,,,,0.0,,,1.0,152.0,,,,,0.0,39.0,
malik-turner,Malik Turner,WR,,,,,,,,,,,,0.0,54.0,5.0,,,
mathew-sexton,Mathew Sexton,WR,,,,,,,,,,,,0.0,15.0,3.0,,,
nate-mccrary,Nate McCrary,RB,,,,,,,,,,,,0.0,-2.0,1.0,0.0,14.0,
panthers-dst,Panthers DST,DST,,,,,,,0.0,,,,17.0,,,,,,2.0
panthers-k,Panthers K,K,,,,,62.0,,,1.0,,,,,,,,,
panthers-qb,Panthers QB,QB,1.0,,,,,1.0,,,0.0,214.0,,,,,2.0,30.0,
samson-nacua,Samson Nacua,WR,,,,,,,,,,,,0.0,12.0,1.0,,,
siaosi-mariner,Siaosi Mariner,WR,,,,,,,,,,,,0.0,54.0,5.0,,,
toa-taua,Toa Taua,RB,1.0,,,,,,,,,,,,,,0.0,12.0,
