player_id,player_name,positions,1pt_conversion,blocked_punt,dst_touchdown,extra_point,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
aj-richardson,AJ Richardson,WR,,,,,,,,,,,,,0.0,99.0,5.0,0.0,9.0,
artayvious-lynn,Artayvious Lynn,TE,,,,,,,,,,,,,0.0,0.0,0.0,,,
bt-potter,B.T. Potter,K,,,,,83.0,,,,,,,,,,,,,
boogie-roberts,Boogie Roberts,DL/DT,,,,,,,,,,,,,,,,0.0,-2.0,
cj-turner,CJ Turner,WR,,,,,,,,,,,,,0.0,0.0,0.0,,,
cam-sutton,Cam Sutton,TE,,,,,,,,,,,,,0.0,13.0,1.0,,,
chris-blewitt,Chris Blewitt,K,,,,1.0,199.0,,,,,,,,,,,0.0,1.0,
cole-hikutini,Cole Hikutini,TE,,,,,,,,,,,,,1.0,80.0,6.0,,,
cole-murphy,Cole Murphy,K,,,,1.0,,,,,,,,,,,,,,
cyril-grayson,Cyril Grayson,WR,,,,,,,,,,,,,0.0,12.0,1.0,,,
danny-etling,Danny Etling,QB,,,,,,,1.0,,1.0,0.0,70.0,,,,,0.0,26.0,
emmanuel-butler,Emmanuel Butler,WR,,,,,,,,,,,,,0.0,41.0,1.0,,,
garrett-groshek,Garrett Groshek,RB,,,,,,,,,,,,,0.0,4.0,1.0,0.0,28.0,
georquarius-spivey,Geor\'Quarius Spivey,TE,,,,,,,,,,,,,0.0,15.0,2.0,,,
gunnar-oakes,Gunnar Oakes,TE,,,,,,,,,,,,,0.0,11.0,1.0,,,
ishmael-hyman,Ishmael Hyman,WR,,,,,,,,,,,,,0.0,8.0,1.0,0.0,2.0,
isiah-hennie,Isiah Hennie,WR,,,,,,,,,,,,,0.0,67.0,5.0,0.0,7.0,
jalan-mcclendon,Jalan McClendon,QB,1.0,,,,,,0.0,,,0.0,193.0,,,,,0.0,1.0,
jalen-wydermyer,Jalen Wydermyer,TE,,,,,,,,,,,,,0.0,26.0,2.0,,,
jaylon-moore-2,Jaylon Moore,WR,,,,,,,,,,,,,0.0,30.0,3.0,,,
joe-walker,Joe Walker,WR,,,,,,,,,,,,,0.0,22.0,2.0,,,
josh-babicz,Josh Babicz,TE,,,,,,,,,,,,,0.0,-2.0,1.0,,,
josh-love,Josh Love,QB,,,,,,,4.0,,,1.0,233.0,,,,,0.0,16.0,
josh-simmons,Josh Simmons,WR,,,,,,,,,,,,,1.0,20.0,2.0,,,
justin-hall,Justin Hall,WR,1.0,,,,,,,,,,,,0.0,22.0,4.0,,,
kaden-davis,Kaden Davis,WR,,,,,,,,,,,,,0.0,16.0,1.0,,,
keke-chism,Keke Chism,WR,,,,,,,,,,,,,0.0,44.0,4.0,,,
kirk-merritt,Kirk Merritt,RB,,,,,,,,,,,,,0.0,25.0,1.0,0.0,19.0,
lorenzo-lingard,Lorenzo Lingard,RB,,,,,,,,,,,,,0.0,21.0,3.0,1.0,30.0,
madre-london,Madre London,RB,,,,,,,,,,,,,,,,0.0,51.0,
malik-turner,Malik Turner,WR,,,,,,,,,,,,,0.0,1.0,1.0,,,
marcus-baugh,Marcus Baugh,WR/TE,,,,,,,,,,,,,0.0,10.0,2.0,,,
mason-stokke,Mason Stokke,FB/RB,,,,,,,,,,,,,0.0,1.0,2.0,,,
matt-colburn-ii,Matt Colburn II,WR/RB,,,,,,,,,,,,,0.0,24.0,3.0,1.0,25.0,
maulers-dst,Maulers DST,DST,,1.0,,,,,,4.0,,,,7.0,,,,,,5.0
maulers-k,Maulers K,K,,,,1.0,136.0,,,,,,,,,,,,,
maulers-qb,Maulers QB,QB,,,,,,,0.0,,,1.0,166.0,,,,,0.0,7.0,
nate-mccrary,Nate McCrary,RB,,,,,,,,,,,,,0.0,15.0,2.0,0.0,68.0,
panthers-dst,Panthers DST,DST,,,,,,,,0.0,,,,32.0,,,,,,8.0
panthers-k,Panthers K,K,,,,1.0,83.0,,,,,,,,,,,,,
panthers-qb,Panthers QB,QB,,,,,,,6.0,,2.0,1.0,364.0,,,,,0.0,72.0,
rocky-lombardi,Rocky Lombardi,QB,,,,,,,1.0,,1.0,0.0,61.0,,,,,0.0,30.0,
roughnecks-dst,Roughnecks DST,DST,,,1.0,,,2.0,,2.0,,,,12.0,,,,,,2.0
roughnecks-k,Roughnecks K,K,,,,,63.0,,,,,,,,,,,,,
roughnecks-qb,Roughnecks QB,QB,1.0,,,,,,0.0,,,0.0,193.0,,,,,0.0,1.0,
samson-nacua,Samson Nacua,WR,,,,,,,,,,,,,0.0,0.0,0.0,,,
siaosi-mariner,Siaosi Mariner,WR,,,,,,,,,,,,,0.0,0.0,0.0,,,
stevie-scott-iii,Stevie Scott III,RB,,,,,,,,,,,,,,,,0.0,25.0,
tre-walker,Tre Walker,WR,,,,,,,,,,,,,,66.0,3.0,,3.0,
trey-quinn,Trey Quinn,WR,,,,,,,,,,,,,0.0,8.0,2.0,,,
troy-williams,Troy Williams,QB,,,,,,,0.0,,,1.0,166.0,,,,,,7.0,
xavier-malone,Xavier Malone,WR,,,,,,,,,,,,,0.0,24.0,1.0,,,
