player_id,player_name,positions,extra_point,field_goal_yards,interceptions_lost,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
bc-k,BC K,K,2.0,36.0,,,,,,,,
bc-qb,BC QB,QB,,,1.0,6.0,712.0,,,,0.0,18.0
cgy-k,CGY K,K,5.0,87.0,,,,,,,,
cgy-qb,CGY QB,QB,,,0.0,0.0,0.0,,,,1.0,6.0
clark-barnes,Clark BARNES,WR,,,,,,0.0,41.0,3.0,,
dedrick-mills,Dedrick MILLS,RB,,,,,,1.0,46.0,4.0,0.0,58.0
dejon-brissett,Dejon BRISSETT,WR,,,,,,0.0,0.0,0.0,,
erik-brooks,Erik BROOKS,WR,,,,,,0.0,58.0,6.0,,
jalen-philpot,Jalen PHILPOT,WR,,,,,,1.0,13.0,3.0,0.0,-1.0
james-butler,James BUTLER,RB,,,,,,0.0,32.0,4.0,0.0,20.0
jude-mcatamney,Jude McAtamney,K/PK,5.0,87.0,,,,,,,,
justin-mcinnis,Justin MCINNIS,WR,,,,,,0.0,37.0,3.0,,
keon-hatcher,Keon HATCHER,WR,,,0.0,0.0,21.0,0.0,162.0,9.0,,
nathan-rourke,Nathan ROURKE,QB,,,1.0,3.0,462.0,0.0,21.0,1.0,0.0,6.0
nick-cenacle,Nick CENACLE,WR,,,,,,0.0,21.0,3.0,,
quincy-vaughn,Quincy VAUGHN,QB,,,,,,,,,1.0,6.0
sean-whyte,Sean WHYTE,K,2.0,36.0,,,,,,,,
tevin-jones,Tevin JONES,WR,,,,,,1.0,71.0,3.0,,
tyreik-mcallister,Tyreik McAllister,RB/WR,,,,,,0.0,0.0,0.0,,
zander-horvath,Zander HORVATH,RB,,,,,,1.0,19.0,4.0,1.0,6.0
