player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,fielding_runouts,match_played
aa-obanda,AA Obanda,,40.0,7.0,0.0,1.0,47.0,1.0,,,,,,,,,1.0
ahsan-malik,Ahsan Malik,,,,,,,,24.0,0.0,0.0,43.0,2.0,0.0,,,1.0
co-obuya,CO Obuya,,37.0,7.0,1.0,4.0,75.0,4.0,,,,,,,,1.0,1.0
dls-van-bunge,DLS van Bunge,,7.0,0.0,1.0,7.0,4.0,0.0,,,,,,,,,1.0
ha-varaiya,HA Varaiya,,,,,,,,18.0,0.0,0.0,28.0,0.0,0.0,,,1.0
jo-ngoche,JO Ngoche,,,,,,,,24.0,0.0,0.0,25.0,0.0,0.0,,,1.0
ln-oluoch,LN Oluoch,,,,,,,,12.0,0.0,0.0,30.0,0.0,3.0,,,1.0
ma-ouma,MA Ouma,,9.0,0.0,0.0,3.0,3.0,0.0,,,,,,,1.0,,1.0
mjg-rippon,MJG Rippon,,,,,,,,12.0,0.0,0.0,16.0,0.0,0.0,1.0,,1.0
mr-swart,MR Swart,,55.0,6.0,0.0,2.0,89.0,5.0,24.0,0.0,0.0,39.0,1.0,0.0,,,1.0
mudassar-bukhari,Mudassar Bukhari,,6.0,0.0,0.0,4.0,4.0,0.0,24.0,0.0,0.0,28.0,1.0,0.0,1.0,,1.0
nn-odhiambo,NN Odhiambo,,1.0,0.0,1.0,7.0,3.0,0.0,24.0,0.0,0.0,35.0,0.0,1.0,,,1.0
pm-seelaar,PM Seelaar,,,,,,,,12.0,0.0,0.0,19.0,0.0,0.0,2.0,,1.0
rg-aga,RG Aga,,2.0,0.0,0.0,6.0,2.0,0.0,24.0,0.0,0.0,24.0,3.0,0.0,,1.0,1.0
rr-patel,RR Patel,,22.0,1.0,0.0,5.0,36.0,3.0,,,,,,,,,1.0
sj-myburgh,SJ Myburgh,,32.0,4.0,0.0,1.0,41.0,1.0,,,,,,,,,1.0
so-ngoche,SO Ngoche,,,,,,,,18.0,0.0,0.0,29.0,0.0,0.0,,,1.0
t-mishra,T Mishra,,3.0,0.0,0.0,2.0,1.0,0.0,,,,,,,,,1.0
tgj-gruijters,TGJ Gruijters,,,,,,,,18.0,0.0,0.0,22.0,1.0,0.0,1.0,,1.0
tlw-cooper,TLW Cooper,,13.0,3.0,0.0,3.0,25.0,1.0,,,,,,,,,1.0
tn-de-grooth,TN de Grooth,,1.0,0.0,0.0,5.0,1.0,0.0,,,,,,,,,1.0
w-barresi,W Barresi,,6.0,0.0,1.0,6.0,3.0,0.0,,,,,,,,,1.0
