player_id,player_name,positions,1pt_conversion,conversions,dst_touchdown,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,missed,pass_defended,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
aj-mccarron,AJ McCarron,QB,0.0,2.0,,,,2.0,,1.0,,,4.0,262.0,,,,,,6.0,,
abram-smith,Abram Smith,RB,0.0,0.0,,,,,,,,,,,,,16.0,3.0,,54.0,,
andre-mintze,Andre Mintze,DE/LB,,,,,,,,,,,,,,,,,,,1.0,2.0
anthony-hines,Anthony Hines,LB,,,,,,,,,,,,,,,,,,,,3.0
anthoula-kelly,Anthoula Kelly,CB/DB,,,,,,,,,,,,,,,,,,,,2.0
artavis-pierce,Artavis PIERCE,RB,,,,,,,,,,,,,,,,,,,,1.0
austin-proehl,Austin Proehl,WR,,,,,,,,,,,,,,,12.0,2.0,,,,
battlehawks-dst,Battlehawks DST,DST,,,,,2.0,,,,,,,,28.0,,,,,,2.0,
battlehawks-k,Battlehawks K,K,,,,0.0,,,,,1.0,,,,,,,,,,,
battlehawks-qb,Battlehawks QB,QB,,2.0,,,,2.0,,1.0,,,4.0,262.0,,,,,,6.0,,
ben-deluca,Ben Deluca,DB/FS,,,,,,,,,,,,,,,,,,,,7.0
brian-hill,Brian Hill,RB,0.0,0.0,,,,,,,,,,,,1.0,49.0,4.0,,32.0,,1.0
chris-blair,Chris Blair,WR,,,,,,,,,,,,,,1.0,62.0,2.0,,,,
deriq-king,D\'Eriq King,QB,,,,,,,,,,,1.0,14.0,,,,,,9.0,,
darrius-shepherd,Darrius Shepherd,WR,0.0,1.0,,,,,,,,,,,,,51.0,5.0,,,,
dejuan-neal,DeJuan Neal,CB/DB,,,,,,,,,,1.0,,,,,,,,,,8.0
defenders-dst,Defenders DST,DST,,,1.0,,2.0,,2.0,,,,,,28.0,,,,,,4.0,
defenders-k,Defenders K,K/QB,,2.0,,76.0,,,,1.0,0.0,,2.0,210.0,,,,,1.0,31.0,,
donald-hageman,Donald Hageman,K,,,,0.0,,,,,1.0,,,,,,,,,,,
elijah-hamilton,Elijah Hamilton,DB,,,,,,,,,,,,,,,,,,,,1.0
elorm-lumor,Elorm Lumor,DE/DL,,,,,,,,,,,,,,,,,,,,3.0
ethan-wolf,Ethan Wolf,TE,0.0,1.0,,,,,,,,,,,,1.0,13.0,2.0,,,,
fadol-brown,Fadol Brown,DE/DL/DT,,,,,,,,,,,,,,,,,,,0.5,2.0
hakeem-butler,Hakeem Butler,WR,,,,,,,,,,,,,,1.0,105.0,9.0,,,,
jake-sutherland,Jake Sutherland,TE/WR,,,,,,,,,,,,,,1.0,23.0,1.0,,,,
jamal-brooks,Jamal Brooks,LB,,,,,,,,,,1.0,,,,,,,,,,
jarrell-owens,Jarrell Owens,DB/DL,,,,,,,,,,1.0,,,,,,,,,,1.0
jordan-taamu,Jordan Ta\'amu,QB,0.0,2.0,,,,,,1.0,,,1.0,196.0,,,,,1.0,22.0,,
joseph-wallace,Joseph Wallace,DL/DT,,,,,,,,,,,,,,,,,,,0.5,2.0
josh-hammond,Josh Hammond,WR,0.0,0.0,,,,,,,,,,,,,30.0,3.0,,,,
kentrell-brice,Kentrell Brice,DB/SAF,,,,,,,1.0,,,1.0,,,,,,,,,,5.0
kevin-atkins,Kevin Atkins,DL/DT,,,,,,,,,,,,,,,,,,,1.0,3.0
lacale-london,Lacale London,DE/DL,,,,,,,,,,,,,,,,,,,,1.0
lakiem-williams,Lakiem Williams,LB,,,,,,,,,,,,,,,,,,,,3.0
lucky-jackson,Lucky Jackson,WR,0.0,1.0,,,,,,,,,,,,,89.0,4.0,,,,
lukas-denis,Lukas Denis,DB/FS/S,,,,,,,,,,,,,,,,,,,1.0,3.0
manny-wilkins,Manny Wilkins,QB,,,,,,,,,,,,,,,,,,,,1.0
marcell-ateman,Marcell Ateman,WR,,,,,,,,,,,,,,,7.0,1.0,,,,
mataeo-durant,Mataeo Durant,RB,,,,,,,,1.0,,,,,,,-2.0,1.0,,18.0,,1.0
matthew-mccrane,Matthew McCrane,K,,,,76.0,,,,,0.0,,,,,,,,,,,
michael-joseph,Michael Joseph,CB/DB,,,,,,,1.0,,,,,,,,,,,,,5.0
mike-hampton,Mike Hampton,CB/DB,,,,,,,,,,,,,,,,,,,,2.0
mike-rose,Mike Rose,DB/DL/LB/MLB,,,,,,,,,,,,,,,,,,,,3.0
ryquell-armstead,Ryquell Armstead,RB,,,,,,,,2.0,,,,,,,,,,51.0,,
santos-ramirez,Santos Ramirez,DB/SAF,,,,,,,,,,,,,,,,,,,,4.0
sebastian-brandt,Sebastian Brandt,CB/DB,,,,,,,,,,,,,,,,,,,,1.0
steven-mitchell-jr,Steven Mitchell Jr.,WR,0.0,1.0,,,,,,,,,,,,1.0,17.0,3.0,,,,
willie-harvey,Willie Harvey,LB,,,,,,,,,,,,,,,,,,,,6.0
