player_id,player_name,positions,3pt_pass,conversions,extra_point,field_goal_yards,interceptions_lost,interceptions_made,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
austin-reed,Austin Reed,QB,,,,,1.0,,,4.0,240.0,,,,,0.0,-1.0,
baylor-cupp,Baylor Cupp,TE,,,,,,,,,,,0.0,10.0,1.0,,,
blake-jackson,Blake Jackson,WR,,,,,,,,,,,0.0,24.0,5.0,,,
brandon-silvers,Brandon Silvers,QB,1.0,,,,2.0,,,1.0,186.0,,,,,0.0,16.0,
colton-theaker,Colton Theaker,K,,,2.0,48.0,,,1.0,,,,,,,,,
curtis-hodges,Curtis Hodges,TE,,,,,,,,,,,0.0,1.0,1.0,,,
dallas-renegades-dst,DALLAS RENEGADES DST,DST/K,,,2.0,48.0,,2.0,1.0,,,15.0,,,,,,1.0
dallas-renegades-qb,DALLAS RENEGADES QB,QB,,,,,1.0,,,4.0,240.0,,,,,0.0,-1.0,
dae-dae-hunter,Dae Dae Hunter,RB,,,,,,,,,,,0.0,-3.0,1.0,0.0,67.0,
denzel-mims,Denzel Mims,WR,,,,,,,,,,,0.0,18.0,2.0,,,
deontay-burnett,Deontay Burnett,WR,,,,,,,,,,,0.0,0.0,0.0,,,
drake-stoops,Drake Stoops,WR,,,,,,,,,,,0.0,43.0,3.0,,,
ellis-merriweather,Ellis Merriweather,RB,,,,,,,,,,,0.0,13.0,2.0,0.0,21.0,
greg-ward,Greg Ward,WR,,1.0,,,,,,,,,1.0,12.0,1.0,,,
hakeem-butler,Hakeem Butler,WR,1.0,,,,,,,,,,0.0,56.0,4.0,,,
jahcour-pearson,Jahcour Pearson,WR,,,,,,,,,,,0.0,40.0,4.0,,,
jarveon-howard,Jarveon Howard,RB,,,,,,,,,,,0.0,28.0,5.0,0.0,15.0,
justin-smith,Justin Smith,WR,,,,,,,,,,,0.0,0.0,0.0,,,
kevon-latulas,Kevon Latulas,RB,,,,,,,,,,,0.0,14.0,1.0,0.0,16.0,
st-louis-battlehawks-dst,ST. LOUIS BATTLEHAWKS DST,DST/K,,,,65.0,,1.0,,,,31.0,,,,,,0.0
st-louis-battlehawks-qb,ST. LOUIS BATTLEHAWKS QB,QB,1.0,,,,2.0,,,1.0,186.0,,,,,0.0,16.0,
seth-green,Seth Green,TE,,1.0,,,,,,,,,,,,,,
steven-mcbride,Steven McBride,WR,,,,,,,,,,,0.0,14.0,2.0,,,
tucker-mccann,Tucker McCann,K,,,,65.0,,,,,,,,,,,,
tyler-neville,Tyler Neville,TE,,,,,,,,,,,1.0,10.0,1.0,,,
tyler-vaughns,Tyler Vaughns,WR,,,,,,,,,,,3.0,146.0,11.0,0.0,0.0,
