player_id,player_name,positions,def_int,def_lg,def_sack,def_solo,def_tot,def_yds,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_td,ret_yds,rush_att,rush_lg,rush_yds,score_conv,score_p,score_pr,score_pts,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
aaron-berry,Aaron Berry,DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andre-durie,Andre Durie,WR/SB,,,,,,,,,,,,,,,,13.0,1.0,2.0,,,13.0,,,,,,,,,,,,,,,,,,,,
anthony-coombs,Anthony Coombs,WR,,,,,,,,,,,,,,,,15.0,5.0,8.0,,24.0,34.0,,,,,,,1.0,-3.0,-3.0,1.0,,,2.0,,,,,,,
anthony-orange,Anthony Orange,DB,,,,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brandon-bridge,Brandon Bridge,QB,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,4.0,4.0,,,,,,,,,,,
brandon-whitaker,Brandon Whitaker,RB,,,,,,,,,,,,,,,,,4.0,5.0,1.0,36.0,41.0,,,,,,,6.0,8.0,25.0,,1.0,,6.0,1.0,,,,,,
brian-jones,Brian Jones,WR,,,,,,,,,,,,,,,,23.0,4.0,8.0,,5.0,57.0,,,,,,,,,,,,,,,,,,,,
bryan-hall,Bryan Hall,DL/DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caleb-holley,Caleb Holley,WR,,,,,,,,,,,,,,,,6.0,3.0,5.0,1.0,5.0,16.0,,1.0,,,,,1.0,-2.0,-2.0,,1.0,,6.0,1.0,,,,,,
chris-van-zeyl,Chris Van Zeyl,OL,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
