player_id,player_name,positions,assisted_tackles,blocks,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
albert-curran-iv,Albert Curran IV,DB,0.0,,1.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,
anthony-lamar-dixon,Anthony Lamar Dixon,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,0.0,1.0,,,,
bryce-holliday,Bryce Holliday,QB,,,,,,,,,,,2.0,,,,,,,,,,,,20.0,13.0,,24.0,2.0,153.0,,,,,,3.0,10.0,9.0,0.0,27.0,,,,,,,,
calvin-lowe,Calvin Lowe,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,
cameron-hunt-ii,Cameron Hunt II,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3,21.0,0.0,53.0,4.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
cameron-mccauley,Cameron McCauley,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,0.0,15.0,1.0,,,,,,,,,,,,,
charles-smith,Charles Smith,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,,,,
chris-elmore,Chris  Elmore,RB,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,5.0,6.0,1.0,0.0,,
colby-thomas,Colby Thomas,G/OL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,0.0,,
cornel-jones,Cornel Jones,LB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,6.0,1.0,0.0,,
