player_id,player_name,positions,blocked_punt,conversions,dst_touchdown,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
alex-ellis,Alex Ellis,TE,,1.0,,,,,,,,,,0.0,19.0,1.0,,,
anthony-ratliff-williams,Anthony Ratliff-Williams,WR,,,,,,,,,,,,0.0,6.0,2.0,,,
braedon-bowman,Braedon Bowman,TE/WR,,,,,,,,,,,,0.0,0.0,0.0,,,
brandon-smith-2,Brandon Smith,WR,,,,,,,,,,,,0.0,0.0,0.0,,,
briley-moore-mckinney,Briley Moore-Mckinney,TE,,,,,,,,,,,,1.0,29.0,3.0,,,
camron-harris,Cam\'Ron Harris,RB,,,,,,,,,,,,0.0,12.0,1.0,0.0,34.0,
chris-rowland,Chris Rowland,WR,,,,,,,,,,,,0.0,55.0,2.0,,,
darius-hagans,Darius Hagans,RB,,,,,,,,,,,,0.0,11.0,2.0,1.0,29.0,
defenders-dst,Defenders DST,DST,1.0,,,,1.0,,0.0,,,,12.0,,,,,,1.0
defenders-k,Defenders K,QB/K,,1.0,,43.0,,1.0,,,2.0,212.0,,,,,0.0,17.0,
emmanuel-butler,Emmanuel Butler,WR,,,,,,,,,,,,0.0,34.0,2.0,,,
jj-molson,J.J. Molson,K,,,,94.0,,,,,,,,,,,,,
jarrett-guarantano,Jarrett Guarantano,QB,,,,,,0.0,,,0.0,23.0,,,,,,,
jordan-taamu,Jordan Ta\'amu,QB,,1.0,,,,1.0,,,2.0,212.0,,,,,,17.0,
justin-hall,Justin Hall,WR,,,,,,,,,,,,0.0,44.0,6.0,,,
keke-chism,Keke Chism,WR,,,,,,,,,,,,1.0,57.0,3.0,,,
keke-coutee,Keke Coutee,WR,,,,,,,,,,,,0.0,40.0,3.0,0.0,2.0,
kelvin-harmon,Kelvin Harmon,WR,,,,,,,,,,,,0.0,29.0,3.0,,,
kirk-merritt,Kirk Merritt,RB,,,,,,,,1.0,,,,0.0,79.0,5.0,0.0,3.0,
matthew-mccrane,Matthew McCrane,K,,,,43.0,,,,,,,,,,,,,
reid-sinnett,Reid Sinnett,QB,,,,,,0.0,,,1.0,221.0,,,,,,,
roughnecks-dst,Roughnecks DST,DST,,,1.0,,,,1.0,,,,23.0,,,,,,2.0
roughnecks-k,Roughnecks K,K,,,,94.0,,,,,,,,,,,,,
roughnecks-qb,Roughnecks QB,QB,,,,,,0.0,,,1.0,244.0,,,,,0.0,0.0,
tj-pledger-iv,T.J. Pledger IV,RB,,,,,,,,,,,,0.0,10.0,3.0,0.0,47.0,
ty-scott,Ty Scott,WR,,,,,,,,,,,,1.0,17.0,1.0,,,
