player_id,player_name,positions,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
battlehawks-dst,Battlehawks DST,DST,,3.0,,1.0,,,,,6.0,,,,,,3.0
battlehawks-k,Battlehawks K,K,102.0,,,,,,,,,,,,,,
battlehawks-qb,Battlehawks QB,QB,,,0.0,,1.0,,1.0,93.0,,,,,0.0,49.0,
blake-jackson,Blake Jackson,WR,,,,,,,,,,0.0,31.0,3.0,0.0,5.0,
dae-dae-hunter,Dae Dae Hunter,RB,,,,,,,,,,0.0,41.0,5.0,0.0,47.0,
deveon-smith,De\'Veon Smith,RB,,,,,,,,,,,,,0.0,2.0,
deontay-burnett,Deontay Burnett,WR,,,,,,,,,,0.0,27.0,2.0,,,
frank-darby,Frank Darby,WR,,,,,,,,,,0.0,16.0,1.0,,,
hakeem-butler,Hakeem Butler,WR,,,,,,,,,,1.0,30.0,1.0,,,
isaiah-winstead,Isaiah Winstead,WR,,,,,,,,,,0.0,14.0,2.0,,,
javonta-payton,JaVonta Payton,WR,,,,,1.0,,,,,0.0,40.0,3.0,,,
jacob-saylors,Jacob Saylors,RB,,,,,,,,,,0.0,0.0,0.0,0.0,57.0,
jahcour-pearson,Jahcour Pearson,WR,,,,,,,,,,0.0,11.0,1.0,,,
jarveon-howard,Jarveon Howard,RB,,,,,,,,,,,,,0.0,2.0,
kalen-ballage,Kalen Ballage,RB,,,,,,,,,,0.0,4.0,1.0,0.0,30.0,
lujuan-winningham,LuJuan Winningham,WR,,,,,,,,,,0.0,0.0,0.0,,,
lucas-havrisik,Lucas Havrisik,PK/K,72.0,,,,,1.0,,,,,,,,,
luis-perez,Luis Perez,QB,,,1.0,,2.0,,0.0,145.0,,,,,0.0,3.0,
max-duggan,Max Duggan,QB,,,0.0,,1.0,,1.0,93.0,,,,,0.0,49.0,
renegades-dst,Renegades DST,DST,,1.0,,0.0,,,,,12.0,,,,,,5.0
renegades-k,Renegades K,K,72.0,,,,,1.0,,,,,,,,,
renegades-qb,Renegades QB,QB,,,1.0,,2.0,,0.0,145.0,,,,,0.0,3.0,
rodrigo-blankenship,Rodrigo Blankenship,K,102.0,,,,,,,,,,,,,,
sal-cannella,Sal Cannella,TE,,,,,,,,,,0.0,13.0,2.0,,,
tyler-vaughns,Tyler Vaughns,WR,,,,,,,,,,0.0,6.0,1.0,,,
