player_id,player_name,positions,interceptions_lost,interceptions_made,pass_defended,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
alijah-holder,Alijah Holder,DB/FS/S,,,,,,,,,,,,5.0
antoine-brooks,Antoine Brooks,DB/CB,,,,,,,,,,,,7.0
antwuan-jackson,Antwuan Jackson,DT/DL,,,,,,,,,,,,5.0
austin-faoliu,Austin Faoliu,DT/DL,,,,,,,,,,,,2.0
ben-dinucci,Ben DiNucci,QB,1.0,,,1.0,266.0,,,,,52.0,,
blake-jackson,Blake Jackson,WR,,,,,,,68.0,4.0,,,,
brandon-arconado,Brandon Arconado,WR,,,,,,,7.0,1.0,,,,
bruce-hector,Bruce Hector,DT/DL,,,,,,,,,,,,2.0
bunmi-rotimi,Bunmi Rotimi,DT/DB/OLB/DL,,,,,,,,,,,1.0,1.0
caleb-vander-esch,Caleb Vander Esch,WR,,,,,,,18.0,1.0,,,,
chris-jones,Chris Jones,DB/DT,,,,,,,,,,,,3.0
clarence-hicks,Clarence Hicks,LB/DL,,,,,,,,,,,1.0,5.0
damion-willis,Damion Willis,WR,,,,,,,14.0,2.0,,,,
daniel-joseph,Daniel Joseph,DL,,,,,,,,,,,,1.0
darius-bradwell,Darius Bradwell,RB,,,,,,,,,1.0,18.0,,
devante-bausby,De\'Vante Bausby,DB/CB,,,1.0,,,,,,,,,1.0
deveon-smith,De\'Veon Smith,RB,,,,,,,33.0,3.0,2.0,61.0,,
donald-payne,Donald Payne,OLB/LB,,,,,,,,,,,,10.0
drew-plitt,Drew Plitt,QB,1.0,,,,213.0,,,,,29.0,,
elijah-ponder,Elijah Ponder,LB/DL,,,,,,,,,,,,1.0
isaiah-graham-mobley,Isaiah Graham-Mobley,LB,,,,,,,,,,,,1.0
javonta-payton,JaVonta Payton,WR,,,,,,,,1.0,,,,
jahcour-pearson,Jahcour Pearson,WR,,,,,,,31.0,5.0,,,,
joe-powell,Joe Powell,DB/SAF/LB,,,,,,,,,,,,8.0
jordan-veasy,Jordan Veasy,WR,,,,,,,79.0,3.0,,,,
josh-gordon,Josh Gordon,WR,,,,,,1.0,43.0,3.0,,,,1.0
josiah-coatney,Josiah Coatney,DL,,,,,,,,,,,,1.0
juwan-green,Juwan Green,WR,,,,,,,31.0,3.0,,,,
kevin-anderson,Kevin Anderson,QB,,,,,5.0,,,,,,,
leddie-brown,Leddie Brown,RB,,,,,,,,1.0,,34.0,,
linden-stephens,Linden Stephens,DB,,,,,,,,,,,,4.0
lujuan-winningham,LuJuan Winningham,WR,,,,,,,14.0,1.0,,,,
nate-becker,Nate Becker,TE,,,,,,,5.0,1.0,,,,
niko-lalos,Niko Lalos,DE/DL,,,,,,,,,,,,1.0
qwynnterrio-cole,Qwynnterrio Cole,DB/FS,,1.0,,,,,,,,,,4.0
rannell-hall-2,Rannell Hall,WR,,,,,,,12.0,1.0,,,,
renegades-dst,Renegades DST,DST,,1.0,,,,,,,,,2.0,
renegades-qb,Renegades QB,QB,1.0,,,,218.0,,,,,29.0,,
sal-cannella,Sal Cannella,TE,,,,,,,64.0,4.0,,,,
sea-dragons-dst,Sea Dragons DST,DST,,1.0,,,,,,,,,1.0,
sea-dragons-qb,Sea Dragons QB,QB,1.0,,,1.0,266.0,,,,,52.0,,
shakur-brown,Shakur Brown,DB/CB,,,,,,,,,,,,5.0
tj-barnes,T.J. Barnes,DT/DB/DL,,,,,,,,,,,1.0,2.0
tj-hammonds,T.J. Hammonds,WR,,,,,,,,1.0,,45.0,,
tre-walker-2,Tre Walker,LB,,,,,,,,,,,,7.0
tuzar-skipper,Tuzar Skipper,OLB/LB,,,,,,,,,,,,2.0
tyler-vaughns,Tyler Vaughns,WR,,,,,,,25.0,3.0,,,,
victor-bolden-jr,Victor Bolden Jr.,WR,,,,,,,40.0,3.0,,,,
will-clarke,Will Clarke,DT/OLB/DL,,,,,,,,,,,,3.0
will-hill,Will Hill,DB,,1.0,,,,,,,,,,6.0
willie-taylor,Willie Taylor,LB,,,1.0,,,,,,,,,2.0
zafir-kelly,Zafir Kelly,DB,,,1.0,,,,,,,,,1.0
