player_id,player_name,positions,assists,blocks,callahans,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
brandon-lin,Brandon Lin,P,,,,2.0,1.0,,1.0,,,,2.0,,24.0,3.0
brandon-van-deusen,Brandon Van Deusen,P,,,,,,,2.0,7.0,,,,,,
daniel-brunker,Daniel Brunker,P,,1.0,,,,,1.0,,,,,1.0,,
dante-lopez-escarez,Dante Lopez-Escarez,P,1.0,,,3.0,4.0,,,,,1.0,4.0,,2.0,19.0
derek-mourad,Derek Mourad,P,1.0,,,45.0,52.0,,1.0,4.0,1.0,1.0,54.0,2.0,154.0,362.0
emmet-shipway,Emmet Shipway,P,1.0,,,1.0,1.0,,,,1.0,,1.0,,14.0,43.0
everest-shapiro,Everest Shapiro,P,,,,,,,,,,,,2.0,,
garrett-martin,Garrett Martin,P,2.0,,,36.0,26.0,1.0,8.0,2.0,1.0,,29.0,3.0,399.0,173.0
garrett-santi,Garrett Santi,P,,,,,,,1.0,,,,,,,
ian-ladner,Ian Ladner,P,,,,,,1.0,,1.0,,,,,,
jacob-shoyer,Jacob Shoyer,P,1.0,,,18.0,13.0,,3.0,,1.0,,15.0,2.0,207.0,94.0
jamie-kauffman,Jamie Kauffman,P,1.0,1.0,,11.0,9.0,,2.0,2.0,,,9.0,,124.0,66.0
jordan-smith,Jordan Smith,P,,,,4.0,4.0,1.0,,,,,5.0,1.0,12.0,30.0
kamal-raslan,Kamal Raslan,P,1.0,2.0,,16.0,21.0,,,2.0,1.0,,22.0,,15.0,136.0
kenny-lane-iii,Kenny Lane III,P,,,,5.0,9.0,,,,,12.0,10.0,,-4.0,63.0
khalif-el-salaam,Khalif El-Salaam,P,6.0,1.0,,18.0,17.0,,2.0,1.0,4.0,,17.0,,341.0,216.0
kota-sugahara,Kota Sugahara,P,,,,3.0,3.0,,,1.0,,,3.0,,7.0,19.0
lukas-ambrose,Lukas Ambrose,P,,,,,,,,,,,,1.0,,
matt-miller,Matt Miller,P,,,1.0,,,,,,,,,,,
mitchell-steiner,Mitchell Steiner,P,2.0,1.0,,,,,,,,,,,,
nate-kirchhofer,Nate Kirchhofer,P,,,,,,,,,,,,1.0,,
parker-howard,Parker Howard,P,1.0,,,5.0,5.0,,,1.0,1.0,,5.0,,49.0,78.0
pawel-janas,Pawel Janas,P,,,,,,,1.0,,,,,,,
peter-geertz-larson,Peter Geertz-Larson,P,,,,4.0,3.0,,1.0,,,,3.0,,21.0,17.0
rhys-gretsch,Rhys Gretsch,P,,,,,,,,,,,,1.0,,
spencer-lofink,Spencer Lofink,P,4.0,1.0,,20.0,21.0,,,,2.0,10.0,23.0,2.0,105.0,154.0
tommy-lin,Tommy Lin,P,,,,2.0,2.0,,,,,,2.0,,7.0,14.0
tony-goss,Tony Goss,P,2.0,,,45.0,49.0,1.0,3.0,6.0,1.0,,51.0,2.0,213.0,358.0
zac-schakner,Zac Schakner,P,,1.0,,,,,,,,,,,,
zeppelin-raunig,Zeppelin Raunig,P,2.0,,,16.0,14.0,,2.0,3.0,1.0,,14.0,,290.0,137.0
