player_id,player_name,positions,assisted_tackles,def_interceptions,defensive_tds,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
aj-davis,Aj Davis,RB,,,,,,,,,,,,,,,,,,,,,,,,,25.0,25.0,1.0,25.0,1.0,,,,,,,,,,,
anthony-jacobsen,Anthony Jacobsen,LB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,0.5,0.0,,
bemnet-morgan,Bemnet Morgan,DB,,,,,,,0.0,,,,,,,,,,,,27.0,13.0,,27.0,5.0,201.0,,,,,,,,,,,,,,,,
cj-jefferson,CJ Jefferson,WR,,,,,,,,,,,,,,,,,,,,,,,,,19.0,22.0,2.0,57.0,3.0,,,,,,,,,,,
damecio-ewing-jr,Damecio Ewing Jr,,3.0,1.0,1.0,22.0,22.0,22.0,,2.0,,,,,,,13.5,14.0,0.0,27.0,,,,,,,,,,,,,,,,,0.0,3.0,,,,
damon-stokes,Damon Stokes,WR,0.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,0.0,0.0,,,,
david-ross,David Ross,RB,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,3.0,,,,
deonte-rarrick,Deonte Rarrick,WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,8.3,15.0,3.0,66.0,8.0,,,,,,1.0,1.0,1.0,0.0,,
desmond-grace,Desmond Grace,DB,,,,,,,,,,,,,,,,,,,,,,,,,11.4,15.0,1.0,57.0,5.0,,,,,,,,,,,
desmond-scott,Desmond Scott,DL,2.0,2.0,0.0,12.5,25.0,25.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,3.0,5.0,,,,
donovan-johnson,Donovan Johnson,WR,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,8.0,,,,
easias-gandy,Easias Gandy,LB,0.0,,,,,,,2.0,,,,,,,15.5,17.0,0.0,31.0,,,1.0,,,,,,,,,,,,,,2.0,2.0,,,,
gibson-ziah,Gibson Ziah,DL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
greg-conry,Greg Conry,K,,,,,,,,,,,,,,,,,,,,,,,,,7.5,8.0,0.0,15.0,2.0,,,,,,,,,,,
greg-dent,Greg Dent,WR,,,,,,,,1.0,,,,,,,6.0,6.0,0.0,6.0,,,,,,,4.8,7.0,0.0,19.0,4.0,2.1,14.0,13.0,2.0,27.0,,,,,,
isaiah-blackmon,Isaiah Blackmon,DL,,,,,,,,,,,,,,,,,,,,,,,,,23.5,25.0,2.0,47.0,2.0,,,,,,,,,,,
isaiah-robinson,Isaiah Robinson,WR,,,,,,,,,,,,,,,,,,,,,,,,,24.0,24.0,0.0,24.0,1.0,,,,,,,,,,,
jalen-stradford,Jalen Stradford,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,
jamon-langford,Jamon Langford,WR,1.0,,,,,,,,,,,,,,,,,,,,,,,,17.0,30.0,0.0,34.0,2.0,,,,,,1.0,2.0,,,,
jamorri-colson,Jamorri Colson,,0.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,
jarvai-flowers,Jarvai Flowers,WR,3.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,7.0,10.0,,,,
jazzir-merricks,Jazzir Merricks,DL,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,,,,
jeremiah-flores,Jeremiah Flores,WR,,,,,,,,,3.0,46.9,0.0,3.0,375.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,6.0,3.0
jordan-whitley,Jordan Whitley,,0.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,2.0,,,,
josh-batiste,Josh Batiste,RB,,,,,,,,,5.0,43.8,0.0,5.0,394.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,7.0,5.0
keshaun-taylor,KESHAUN TAYLOR,WR,,,,,,,,2.0,,,,,,,16.0,24.0,0.0,32.0,,,,,,,,,,,,3.0,3.0,2.0,1.0,6.0,,,,,,
kyler-henson,Kyler Henson,WR,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,4.0,5.0,,,,
rashad-flanders,Rashad Flanders,DB,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,4.0,,,,
raymond-alexander,Raymond Alexander,DL,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,
sean-connaghan,Sean Connaghan,LB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,2.5,0.0,,
trayvon-culbert,Trayv'on Culbert,WR,,,,,,,3.0,,,,,,,,,,,,32.0,18.0,,30.0,5.0,200.0,,,,,,1.0,1.0,1.0,0.0,1.0,,,,,,
tyler-lauenstein,Tyler Lauenstein,QB,1.0,,,,,,,,,,,,,,,,,,,,,,,,19.0,27.0,1.0,57.0,3.0,2.4,6.0,8.0,1.0,19.0,0.0,1.0,,,,
