player_id,player_name,positions,assisted_tackles,fg_attempts,field_goal_long,field_goals_made,forced_fumbles,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
andre-sale,Andre Sale,QB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.5,0.0,1.0,0.5,0.0,,
away-jefferson,Away Jefferson,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3,16.0,1.0,62.0,6.0,,,,,,,,,,,,,
brandon-unangst-refused-to-report,Brandon Unangst (Refused to Report),OL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,
cj-cain,CJ Cain,OL,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,1.0,5.0,1.0,,,,,,,,,,,,,
damian-francis,Damian Francis,ATH,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,2.0,0.0,,
darrin-primes,Darrin Primes,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,5.0,0.0,9.0,2.0,3.7,12.0,7.0,2.0,26.0,,,,,,,,
david-brown-jr,David Brown Jr.,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
dequan-dudley,DeQuan  Dudley,WR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
deandre-churchill,Deandre Churchill,WR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,,,,
demarius-washington,Demarius Washington,WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
demry-croft,Demry Croft,QB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,2.0,0.0,,
dontrell-lucky-morrison,"Dontrell ""Lucky"" Morrison",DL,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,6.0,,,,
droell-greene,Droell Greene,DB/WR/DB,,,,,,,,,,0.0,,,,,,,,,,,,28.0,22.0,,26.0,5.0,215.0,,,,,,3.6,13.0,9.0,0.0,32.0,,,,,,,,
emanuel-aquilar-medrano,Emanuel Aquilar-Medrano,K,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
evan-lewandowski,Evan Lewandowski,QB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,
jaden-sutton,Jaden Sutton,RB,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,0.0,0.5,0.0,2.0,0.5,0.0,,
jahoiyakim-afoa,Jahoiyakim Afoa,K,0.0,,,,,1.0,0.0,,,,2.0,,,,,,,-2.0,0.0,0.0,-4.0,,,,,,,37.0,37.0,0.0,37.0,1.0,,,,,,,,0.0,0.0,,,,
jamell-winn-ii,Jamell Winn Ii,DL,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,10.0,1.0,17.0,3.0,,,,,,,,,,,,,
jeff-luc,Jeff Luc,DB/DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,1.0,3.0,1.0,,,,,,,,1.0,1.0,,,,
jerrime-neal,Jerrime Neal,WR,,4.0,27.0,2.0,,,,,,,,13.0,46.1,0.0,3.0,507.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0
joseph-taylor,Joseph Taylor,QB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,17.0,0.0,17.0,1.0,6.4,19.0,7.0,2.0,45.0,,,1.0,1.0,,,,
kaytron-allen,Kaytron Allen,DB,,,,,,,,,,,4.0,,,,,,,11.5,15.0,0.0,46.0,,,,,,,22.3,32.0,0.0,67.0,3.0,2.0,5.0,5.0,1.0,10.0,,,,,,,,
kimo-naehu,Kimo Naehu,K,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,
kindred-evans,Kindred Evans,DL,1.0,,,,,,,,,,1.0,,,,,,,11.0,11.0,0.0,11.0,,,,,,,,,,,,,,,,,,,4.0,5.0,,,,
ladarius-galloway,LaDarius Galloway,RB,,,,,,,,,,,,8.0,35.0,0.0,0.0,315.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0
lagrant-pegram-jr,LaGrant Pegram Jr.,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,5.0,6.0,2.0,0.0,,
letrell-golden,Letrell Golden,OL,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,
maleek-jones,Maleek Jones,WR,,,,,,,,,,0.0,,,,,,,,,,,,22.0,17.0,,37.0,4.0,194.0,,,,,,3.8,17.0,9.0,2.0,34.0,,,,,,,,
mclean-djouha,Mclean Djouha,OL,,,,,,,,,,,5.0,,,,,,,9.4,16.0,0.0,47.0,,,,,,,10.8,26.0,2.0,119.0,11.0,2.0,2.0,1.0,0.0,2.0,,,,,,,,
michael-moton,Michael Moton,DB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,7.0,,,,
myran-mounds,Myran Mounds,DB,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,7.2,13.0,3.0,72.0,10.0,,,,,,,,,,,,,
noa-purcell,Noa Purcell,LB,0.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,
stephen-nagbe-jr,Stephen Nagbe Jr,DL,,,,,,,,,,,1.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
tasleem-wilson,Tasleem Wilson,QB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,
tevin-shipp,Tevin Shipp,LB,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,4.0,5.0,,,,
zachary-schleuger,Zachary Schleuger,LB,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,6.0,7.0,,,,
