player_id,player_name,positions,fg_made,pass_td,recv_td,rush_td
adrian-jefferson,Adrian Jefferson,RB,,,,1.0
trae-jackson,Trae Jackson,WR,3.0,,,
traveon-samuel,Traveon Samuel,WR,,1.0,,
travis-taylor,Travis Taylor,DL,,,1.0,
