player_id,player_name,positions,assist_tackles,completions,fg_0_19,fg_30_39,fg_att_game,int_long,int_tds,int_yards,interceptions_lost,interceptions_made,kick_returns,kr_long,kr_yards,pass_attempts,passing_tds,passing_yards,pr_fc,pr_long,pr_yards,punt_avg,punt_long,punt_returns,punt_yards,punts,punts_blocked,punts_in20,receiving_tds,receiving_yards,receptions,rush_attempts,rushing_yards,sacks,solo_tackles,tackles,targets
alonzo-moore,Alonzo Moore,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,3.0,,,,1.0,1.0,2.0
anthony-johnson,Anthony Johnson,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
asantay-brown,Asantay Brown,DB,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,9.0,
austin-macginnis,Austin MacGinnis,K,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
austin-proehl,Austin Proehl,WR,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,1.0,81.0,6.0,,,,,,3.0
austin-walter,Austin Walter,WR,,,,,,,,,,,3.0,19.0,50.0,,,,,,,,,,,,,,,,,,,,,,
brandon-silvers,Brandon Silvers,QB,,21.0,,,,,,,1.0,,,,,34.0,2.0,204.0,,,,,,,,,,,,,,5.0,15.0,,,,
brock-miller,Brock Miller,P,,,,,,,,,,,,,,,,,,,,48.5,67.0,,194.0,4.0,36.0,3.0,,,,,,,1.0,1.0,
cameron-artis-payne,Cameron Artis-Payne,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,6.0,13.0,80.0,,,,2.0
channing-stribling,Channing Stribling,CB/DB,2.0,,,,,2.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,
connor-hamlett,Connor Hamlett,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,,,,,,
dc-defenders,DC Defenders,,,,,,,6.0,9.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
dallas,Dallas,,,,,,,12.0,24.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
dashaun-phillips,Dashaun Phillips,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,
