player_id,player_name,positions,conversions,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
caleb-vander-esch,Caleb Vander Esch,WR,1.0,,,,,,,,,0.0,40.0,2.0,,,
case-cookus,Case Cookus,QB,1.0,,,1.0,,2.0,1.0,103.0,,,,,,,
daewood-davis,Daewood Davis,WR,,,,,,,,,,1.0,83.0,7.0,,,
darius-victor,Darius Victor,RB,,,,,,,,,,0.0,8.0,1.0,0.0,33.0,
deveon-smith,De\'Veon Smith,RB,1.0,,,,,,,,,0.0,35.0,5.0,2.0,101.0,
dee-anderson,Dee Anderson,WR,,,,,,,,,,0.0,22.0,2.0,,,
deontay-burnett,Deontay Burnett,WR,1.0,,,,,,,,,0.0,35.0,4.0,,,
devin-darrington,Devin Darrington,RB,,,,,,,,,,,,,0.0,6.0,
javonta-payton,JaVonta Payton,WR,,,,,,,,,,2.0,82.0,4.0,,,
jay-jay-wilson,Jay Jay Wilson,TE,,,,,,,,,,0.0,14.0,1.0,,,
jonathan-adams,Jonathan Adams,WR,,,,,,,,,,0.0,43.0,3.0,,,
jonathan-garibay,Jonathan Garibay,K,,39.0,,,,,,,,,,,,,
juwan-manigo,Juwan Manigo,WR,,,,,,1.0,,,,0.0,4.0,1.0,0.0,4.0,
leddie-brown,Leddie Brown,RB,,,,,,,,,,,,,0.0,2.0,
lee-morris,Lee Morris,WR,1.0,,,,,,,,,,,,,,
lindsey-scott-jr,Lindsey Scott Jr.,QB,,,,,,,1.0,13.0,,,,,,-3.0,
luis-perez,Luis Perez,QB,3.0,,,0.0,,,3.0,296.0,,,,,,,
matt-coghlin,Matt Coghlin,K,,54.0,,,,,,,,,,,,,
renegades-dst,Renegades DST,DST,,,2.0,,2.0,,,,23.0,,,,,,4.0
renegades-k,Renegades K,K,,39.0,,,,,,,,,,,,,
renegades-qb,Renegades QB,QB,3.0,,,0.0,,,4.0,309.0,,,,,0.0,-3.0,
showboats-k,SHOWBOATS K,K,,54.0,,,,,,,,,,,,,
showboats-qb,SHOWBOATS QB,QB,1.0,,,2.0,,2.0,2.0,230.0,,,,,1.0,34.0,
sage-surratt,Sage Surratt,TE,,,,,,,,,,0.0,5.0,1.0,,,
sal-cannella,Sal Cannella,TE,1.0,,,,,,,,,2.0,72.0,9.0,,,
seth-green,Seth Green,TE,1.0,,,,,,,,,,,,,,
showboats-dst,Showboats DST,DST,,,1.0,,0.0,,,,47.0,,,,,,0.0
titus-swen,Titus Swen,RB,,,,,,,,,,0.0,0.0,3.0,0.0,29.0,
troy-williams,Troy Williams,QB,,,,1.0,,,1.0,127.0,,,,,1.0,34.0,
tyler-vaughns,Tyler Vaughns,WR,0.0,,,,,,,,,0.0,41.0,4.0,,,
vinny-papale,Vinny Papale,WR,,,,,,,,,,1.0,55.0,7.0,,,
