player_id,player_name,positions,attempts,avg,long,td,yards
akira-kameyama,Akira Kameyama,,21.0,10.4,26.0,3.0,219.0
benjamin-anderson,Benjamin Anderson,,96.0,58.3,854.0,48.0,56.0
daichi-iwakoshi,Daichi Iwakoshi,,17.0,10.4,29.0,2.0,176.0
hayden-plinke,Hayden Plinke,,27.0,10.4,27.0,1.0,280.0
hidehito-tokushima,Hidehito Tokushima,,22.0,10.2,37.0,,225.0
hiroki-takao,Hiroki Takao,,25.0,11.6,33.0,2.0,289.0
hiromi-katō,Hiromi Katō,,22.0,7.2,23.0,2.0,159.0
hiroyuki-akatsu,Hiroyuki Akatsu,,17.0,11.7,27.0,,199.0
ikaika-woolsey,Ikaika Woolsey,,82.0,62.2,542.0,29.0,51.0
john-stanton,John Stanton,,25.0,13.3,95.0,2.0,333.0
katsuya-nagakawa,Katsuya Nagakawa,,26.0,10.9,35.0,2.0,282.0
keita-suzuki,Keita Suzuki,,33.0,8.5,83.0,2.0,281.0
kiminori-yokoyama,Kiminori Yokoyama,,22.0,10.6,29.0,3.0,232.0
kōhei-tahara,Kōhei Tahara,,97.0,55.7,719.0,61.0,54.0
masaki-kawabuchi,Masaki Kawabuchi,,16.0,7.7,27.0,2.0,123.0
ryō-itō,Ryō Itō,,18.0,11.9,42.0,3.0,215.0
ryō-takagi,Ryō Takagi,,41.0,6.0,40.0,3.0,245.0
ryōsuke-nishizawa,Ryōsuke Nishizawa,,92.0,57.6,555.0,33.0,53.0
ryōsuke-ogata,Ryōsuke Ogata,,46.0,4.9,25.0,2.0,225.0
satoru-mori,Satoru Mori,,16.0,12.2,25.0,,195.0
shinpei-wakashima,Shinpei Wakashima,,65.0,5.3,36.0,2.0,346.0
shōtarō-tanoue,Shōtarō Tanoue,,18.0,11.8,30.0,1.0,212.0
takashi-miyako,Takashi Miyako,,77.0,3.1,13.0,3.0,237.0
takuya-fujimoto,Takuya Fujimoto,,35.0,5.8,25.0,,204.0
teruaki-clark-nakamura,Teruaki Clark Nakamura,,23.0,12.9,35.0,2.0,297.0
yasuhiro-miyamoto,Yasuhiro Miyamoto,,20.0,14.1,68.0,,282.0
yoshihito-ōmi,Yoshihito Ōmi,,18.0,12.9,36.0,2.0,233.0
yūichi-kon,Yūichi Kon,,32.0,6.5,29.0,1.0,209.0
yūki-shirakami,Yūki Shirakami,,83.0,5.3,40.0,3.0,440.0
yūshirō-sakai,Yūshirō Sakai,,50.0,5.6,35.0,2.0,281.0
yūsuke-kusano,Yūsuke Kusano,,48.0,4.4,22.0,1.0,209.0
yūya-katō,Yūya Katō,,16.0,13.6,40.0,2.0,217.0
