player_id,player_name,positions,interceptions,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
darien-townsend,DARIEN TOWNSEND,WR,,,,2.0,40.0,4.0,,
duane-brown,DUANE  BROWN,K/WR,,,,2.0,98.0,8.0,,
desmond-maxwell,Desmond  Maxwell,RB,,,,,,,0.0,8.0
edward-smith,Edward Smith,WR,,,,1.0,45.0,2.0,,
isaiah-scott,Isaiah Scott,WR,,,,2.0,79.0,5.0,,
javin-kilgo,Javin Kilgo,QB,2.0,4.0,322.0,,,,2.0,44.0
marquel-wade,MARQUEL WADE,WR,,,,2.0,68.0,2.0,,
malik-honeycutt,Malik Honeycutt,WR,,,,3.0,199.0,15.0,,
sam-castronova,Sam Castronova,QB,0.0,8.0,303.0,,,,2.0,26.0
tracy-brooks,Tracy Brooks,RB,,,,0.0,50.0,6.0,0.0,3.0
