player_id,player_name,positions,interceptions_lost,interceptions_made,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
brady-oliveira,Brady OLIVEIRA,RB,,,,,,,,,0.0,55.0,
cody-fajardo,Cody FAJARDO,QB,0.0,,0.0,124.0,,,,,1.0,33.0,
dru-brown,Dru Brown,QB,0.0,,1.0,11.0,,,,,,,
frankie-hickson,Frankie Hickson,RB,,,,,,0.0,1.0,1.0,0.0,71.0,
jake-dolegala,Jake Dolegala,QB,1.0,,0.0,23.0,,,,,,,
johnny-augustine,Johnny AUGUSTINE,RB,,,,,,,,,0.0,22.0,
kyran-moore,Kyran Moore,WR,,,,,,0.0,56.0,6.0,,,
nic-demski,Nic DEMSKI,WR,,,,,,,,,0.0,10.0,
ssk-dst,SSK DST,DST,,0.0,,,54.0,,,,,,1.0
ssk-qb,SSK QB,QB,0.0,,0.0,139.0,,,,,,,
samuel-emilus,Samuel Emilus,WR,,,,,,0.0,22.0,2.0,,,
shaq-evans,Shaq Evans,WR,,,,,,0.0,30.0,3.0,,,
wpg-dst,WPG DST,DST,,1.0,,,20.0,,,,,,4.0
wpg-qb,WPG QB,QB,0.0,,5.0,340.0,,,,,,,
zach-collaros,Zach COLLAROS,QB,0.0,,4.0,273.0,,,,,,,
