player_id,player_name,positions,assists,games_played,goals,penalty_minutes,points,pp_assists,pp_goals,sh_goals
adam-charalambides,Adam Charalambides,P,38.0,17.0,21.0,24.0,59.0,15.0,7.0,
adam-jay,Adam Jay,P,1.0,18.0,2.0,14.0,3.0,,,
adam-wiedemann,Adam Wiedemann,P,15.0,18.0,8.0,7.0,23.0,,,1.0
aden-walsh,Aden Walsh,G,,16.0,,,,,,
alex-pace,Alex Pace,P,3.0,18.0,,14.0,3.0,,,
andrew-borgatti,Andrew Borgatti,P,7.0,13.0,1.0,11.0,8.0,,,
andrew-kew,Andrew Kew,P,63.0,16.0,43.0,2.0,106.0,16.0,13.0,1.0
austin-shanks,Austin Shanks,P,37.0,12.0,15.0,4.0,52.0,4.0,1.0,
ben-mcintosh,Ben McIntosh,P,34.0,18.0,39.0,6.0,73.0,5.0,11.0,1.0
billy-hostrawser,Billy Hostrawser,P,2.0,18.0,,74.0,2.0,,,
blaze-riorden,Blaze Riorden,P,39.0,18.0,34.0,9.0,73.0,6.0,5.0,2.0
bobby-kidd-iii,Bobby Kidd III,P,11.0,17.0,1.0,6.0,12.0,,,
brad-gillies,Brad Gillies,P,6.0,17.0,7.0,,13.0,,,1.0
brad-kri,Brad Kri,P,12.0,18.0,3.0,26.0,15.0,,1.0,
brendan-bomberry,Brendan Bomberry,P,38.0,18.0,25.0,26.0,63.0,13.0,6.0,
brent-noseworthy,Brent Noseworthy,P,7.0,15.0,1.0,42.0,8.0,1.0,,
brett-craig,Brett Craig,P,1.0,6.0,,11.0,1.0,,,
brett-dobson,Brett Dobson,G,,18.0,,,,,,
brett-mcintyre,Brett McIntyre,P,12.0,11.0,9.0,,21.0,4.0,1.0,
brett-mydske,Brett Mydske,P,9.0,18.0,1.0,10.0,10.0,1.0,,1.0
brooker-muir,Brooker Muir,,,6.0,1.0,8.0,1.0,,,
bryan-cole,Bryan Cole,P,27.0,18.0,15.0,24.0,42.0,9.0,3.0,
cameron-dunkerley,Cameron Dunkerley,G/OL,,9.0,,,,,,
chad-tutton,Chad Tutton,P,13.0,18.0,5.0,25.0,18.0,,,
challen-rogers,Challen Rogers,P,29.0,16.0,20.0,10.0,49.0,4.0,2.0,3.0
chris-boushy,Chris Boushy,P,21.0,17.0,38.0,26.0,59.0,3.0,3.0,
chris-corbeil,Chris Corbeil,P,,2.0,,2.0,,,,
chris-weier,Chris Weier,P,4.0,13.0,,2.0,4.0,,,
christian-del-bianco,Christian Del Bianco,G,,18.0,,,,,,
christopher-origlieri,Christopher Origlieri,G,,18.0,,,,,,
clark-walter,Clark Walter,P,7.0,10.0,13.0,2.0,20.0,1.0,4.0,
clarke-petterson,Clarke Petterson,P,52.0,18.0,32.0,14.0,84.0,11.0,8.0,1.0
cody-jamieson,Cody Jamieson,P,50.0,18.0,23.0,12.0,73.0,14.0,7.0,
colton-armstrong,Colton Armstrong,P,7.0,18.0,5.0,19.0,12.0,,,1.0
connor-fields,Connor Fields,P,60.0,17.0,52.0,12.0,112.0,10.0,6.0,1.0
connor-kearnan,Connor Kearnan,P,45.0,18.0,30.0,26.0,75.0,9.0,9.0,1.0
connor-mcclelland,Connor McClelland,P,2.0,18.0,2.0,10.0,4.0,,,
connor-robinson,Connor Robinson,P,36.0,17.0,35.0,9.0,71.0,15.0,6.0,2.0
corey-small,Corey Small,P,43.0,18.0,40.0,4.0,83.0,8.0,8.0,
curtis-dickson,Curtis Dickson,P,56.0,18.0,44.0,10.0,100.0,17.0,10.0,9.0
dan-coates,Dan Coates,,5.0,11.0,2.0,4.0,7.0,,,
dan-craig,Dan Craig,P,47.0,18.0,35.0,7.0,82.0,9.0,5.0,1.0
