player_id,player_name,positions,def_int,def_lg,def_sack,def_solo,def_tot,def_yds,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_td,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_p,score_pr,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
ac-leonard,A.C. Leonard,DB/DL,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alexandre-dupuis,Alexandre Dupuis,RB/FB,,,,1.0,1.0,,,,,,,,,,,23.0,2.0,2.0,,26.0,34.0,,,,,,,,,,,,,,,,,,,,,
andrew-seinet-spaulding,Andrew Seinet-Spaulding,DB/DL,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ante-milanovic-litre,Ante MILANOVIC-LITRE,RB,,,,,,,,,,,,,,,,16.0,1.0,1.0,,16.0,16.0,,,,,,,,,,,,,,,,,,,,,
bo-levi-mitchell,Bo Levi Mitchell,QB,,,,,,,,36.0,26.0,2.0,43.0,22.0,2.0,,285.0,,,,,,,,,,,,,1.0,2.0,,2.0,,,,,,,,,,,
branden-dozier,Branden Dozier,DB,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brayden-lenius,Brayden Lenius,WR,,,,,,,,,,,,,,,,3.0,1.0,2.0,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,
brett-lauther,Brett LAUTHER,K,,,,,,,,,,,,,,,,,,,,,,71.0,5.0,4.0,83.0,,257.0,,,,,,,15.0,,,5.0,4.0,34.0,15.0,3.0,3.0
cody-fajardo,Cody FAJARDO,QB,,,,,,,,33.0,22.0,4.0,23.0,,,1.0,189.0,,,,,,,,,,,,,10.0,19.0,1.0,89.0,,,6.0,1.0,1.0,,,,,,
cody-grace,Cody Grace,K/P,,,,,,,,,,,,,,,,,,,,,,47.0,3.0,2.0,78.0,1.0,134.0,,,,,,,1.0,,,,,,,,
colton-hunchak,Colton Hunchak,WR,,,,,,,,,,,,,,,,6.0,2.0,3.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
dhaquille-williams,D\'haquille Williams,WR,,,,,,,,,,,,,,,,14.0,5.0,5.0,,23.0,55.0,,,,,,,,,,,,,,,,,,,,,
damon-webb,Damon Webb,DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
darnell-sankey,Darnell Sankey,LB,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deon-lacey,Deon Lacey,LB,,,,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
derek-wiggan,Derek Wiggan,DB/DL,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ed-gainey,Ed Gainey,DB,2.0,,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eli-bouka,Eli Bouka,DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hergy-mayala,Hergy Mayala,WR,,,,,,,,,,,,,,,,10.0,2.0,2.0,,10.0,14.0,,,,,,,,,,,,,,,,,,,,,
isaac-adeyemi-berglund,Isaac Adeyemi-Berglund,DB/DL,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
