player_id,player_name,positions,blocked_punt,extra_point,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
anthony-mcfarland-jr,Anthony McFarland Jr,RB,,,,,,,,,,,,0.0,10.0,1.0,0.0,39.0,
birmingham-stallions-qb,BIRMINGHAM STALLIONS QB,K/DST/QB,,,31.0,1.0,0.0,2.0,,1.0,1.0,208.0,13.0,,,,0.0,3.0,1.0
daewood-davis,Daewood Davis,WR,,,,,,,,,,,,0.0,0.0,0.0,,,
deon-cain,Deon Cain,WR,,,,,,,,,,,,0.0,14.0,2.0,,,
ian-wheeler,Ian Wheeler,RB,,,,,,,1.0,,,,,0.0,0.0,0.0,0.0,2.0,
isaiah-winstead,Isaiah Winstead,WR,,,,,,,,,,,,0.0,60.0,2.0,,,
jabre-barber,Jabre Barber,WR,,,,,,,,,,,,0.0,7.0,1.0,,,
jaden-shirden,Jaden Shirden,RB,,,,,,,,,,,,,,,0.0,5.0,
jaydon-mickens,Jaydon Mickens,WR,,,,,,,,,,,,0.0,103.0,9.0,,,
jordan-thomas-2,Jordan Thomas,TE,,,,,,,,,,,,0.0,6.0,1.0,,,
justyn-ross,Justyn Ross,WR,,,,,,,,,,,,1.0,30.0,2.0,,,
kaden-prather,Kaden Prather,WR,,,,,,,,,,,,0.0,18.0,1.0,,,
louisville-kings-dst,LOUISVILLE KINGS DST,K/DST,1.0,1.0,57.0,,,0.0,,,,,15.0,,,,,,0.0
louisville-kings-qb,LOUISVILLE KINGS QB,QB,,,,,2.0,,,,1.0,226.0,,,,,0.0,27.0,
lucky-jackson,Lucky Jackson,WR,,,,,,,,,,,,1.0,73.0,6.0,,,
snoop-conner,Snoop Conner,RB,,,,,,,,,,,,0.0,13.0,2.0,1.0,56.0,
tanner-brown,Tanner Brown,K,,1.0,57.0,,,,,,,,,,,,,,
tarik-black,Tarik Black,WR,,,,,,,,,,,,0.0,59.0,3.0,,,
tre-mckitty,Tre\' McKitty,TE,,,,,,,,,,,,0.0,0.0,0.0,,,
tyler-davis,Tyler Davis,RB/TE/WR,,,,,,,,,,,,,2.0,1.0,,,
tyrion-davis-price,Tyrion Davis-Price,RB,,,,,,,,,,,,,,,,14.0,
zach-davidson,Zach Davidson,TE,,,,,,,,,,,,0.0,16.0,2.0,,,
