player_id,player_name,positions,assist_tackles,completions,fg_40_49,fg_att_game,int_long,int_tds,int_yards,interceptions_lost,interceptions_made,kick_returns,kr_long,kr_yards,pass_attempts,passing_tds,passing_yards,pr_long,pr_yards,punt_avg,punt_long,punt_returns,punt_yards,punts,punts_blocked,punts_in20,receiving_tds,receiving_yards,receptions,rush_attempts,rushing_tds,rushing_yards,sacks,solo_tackles,tackles,targets
ajene-harris,Ajene Harris,DB/CB,4.0,,,,,,,,,5.0,37.0,116.0,,,,,,,,,,,,,,,,,,,,5.0,9.0,
alonzo-russell,Alonzo Russell,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,5.0,,,,,,,4.0
andre-williams,Andre Williams,RB/WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,12.0,,,,
andrew-ankrah,Andrew Ankrah,DB/LB/DL/DE,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,3.0,
austin-rehkow,Austin Rehkow,P,,,,,,,,,,,,,,,,,,45.5,55.0,,273.0,6.0,31.0,5.0,,,,,,,,,,
beniquez-brown,Beniquez Brown,LB/DB,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,11.0,
blake-jackson,Blake Jackson,WR,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,,,,,,,
cam-phillips,Cam Phillips,WR,,,,,,,,,,,,,,,,,,,,,,,,,3.0,63.0,8.0,,,,,,,5.0
carl-bradford,Carl Bradford,LB/DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
carlton-agudosi,Carlton Agudosi,WR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,,,,,1.0,2.0,
casey-sayles,Casey Sayles,DB/DT,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
channing-ward,Channing Ward,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
charles-james,Charles James,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,
christine-michael,Christine Michael,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,2.0,15.0,,38.0,,,,
