player_id,player_name,positions,match_loss,match_played,match_win,team_points_against,team_points_for
adelaida-killiane,Adelaida Killiane,,1.0,1.0,0.0,11.0,1.0
collinda-joseph,Collinda Joseph,,0.0,1.0,1.0,1.0,11.0
elija-asnina,Elija Asnina,,1.0,1.0,0.0,11.0,1.0
gil-dash,Gil Dash,,0.0,1.0,1.0,1.0,11.0
ina-forrest,Ina Forrest,,0.0,1.0,1.0,1.0,11.0
jon-thurston,Jon Thurston,,0.0,1.0,1.0,1.0,11.0
linda-meijere,Linda Meijere,,1.0,1.0,0.0,11.0,1.0
mark-ideson,Mark Ideson,,0.0,1.0,1.0,1.0,11.0
ojars-briedis,Ojars Briedis,,1.0,1.0,0.0,11.0,1.0
sergeys-djacenko,Sergeys Djacenko,,1.0,1.0,0.0,11.0,1.0
