player_id,player_name,positions,assisted_tackles,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,fumbles,fumbles_lost,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,qb_hits,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
alexander-kekua,Alexander Kekua,OL,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,7.0,,,,
alexis-rosario,Alexis Rosario,RB/WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,
carl-robinson-iii,Carl Robinson III,QB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,2.5,11.0,,
charles-baker,Charles Baker,OL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7,24.0,0.0,35.0,3.0,2.7,4.0,6.0,0.0,16.0,,,,,,,,
chris-perry,Chris Perry,DB,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,2.0,9.0,16.0,2.0,16.0,,
cole-lundy,Cole Lundy,K,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,30.0,3.0,104.0,8.0,3.0,3.0,1.0,0.0,3.0,,,1.0,1.0,,,,
dajon-richard,Dajon Richard,ATH,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
damond-powell,Damond Powell,WR,,,,,,,,,,,,,3.0,0.0,,,,,,16.3,22.0,0.0,49.0,,,,,,,,11.0,18.0,0.0,66.0,6.0,2.2,6.0,12.0,1.0,26.0,,,,,,,0.0,0.0
demetrich-anderton,Demetrich Anderton,OL,,,,,,,,,,,,,6.0,,,,,,,20.2,31.0,0.0,121.0,,,,,,,,8.7,11.0,1.0,26.0,3.0,,,,,,,,,,,,,
deron-maxwell,Deron Maxwell,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0.0,2.0,1.0,-1.0,0.0,1.0,0.0,-1.0,,,1.0,1.0,,,,
