player_id,player_name,positions,1pt_conversion,conversions,dst_touchdown,field_goal_yards,interceptions_lost,interceptions_made,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,safety
alex-ellis,Alex Ellis,TE,,1.0,,,,,,,,,0.0,29.0,2.0,,,,
brandon-smith-2,Brandon Smith,WR,,,,,,,,,,,1.0,51.0,2.0,,,,
briley-moore-mckinney,Briley Moore-Mckinney,TE,,,,,,,,,12.0,,0.0,-2.0,1.0,,,,
camron-harris,Cam\'Ron Harris,RB,,,,,,,,,,,0.0,0.0,0.0,1.0,31.0,,
chris-rowland,Chris Rowland,WR,,,1.0,,,,,,,,0.0,27.0,3.0,,,,
darius-hagans,Darius Hagans,RB,,,,,,,,,,,0.0,16.0,2.0,0.0,-2.0,,
deveon-smith,De\'Veon Smith,RB,1.0,,,,,,,,,,0.0,17.0,3.0,0.0,94.0,,
defenders-dst,Defenders DST,DST,,,1.0,,,2.0,,,,32.0,,,,,,0.0,1.0
defenders-k,Defenders K,K/QB,,1.0,,44.0,0.0,,1.0,2.0,218.0,,,,,0.0,9.0,,
deontay-burnett,Deontay Burnett,WR,,,,,,,,,,,1.0,29.0,4.0,,,,
devin-darrington,Devin Darrington,RB,,1.0,,,,,,,,,,,,0.0,26.0,,
isaiah-winstead,Isaiah Winstead,WR,,,,,,,,,,,0.0,33.0,4.0,,,,
jonathan-garibay,Jonathan Garibay,K,,,,103.0,,,,,,,,,,,,,
jordan-taamu,Jordan Ta\'amu,QB,,1.0,,,0.0,,,2.0,218.0,,,,,0.0,9.0,,
keke-coutee,Keke Coutee,WR,,,,,,,,,,,0.0,31.0,3.0,,,,
lujuan-winningham,LuJuan Winningham,WR,,,,,,,,,,,0.0,0.0,0.0,,,,
luis-perez,Luis Perez,QB,,1.0,,,2.0,,,3.0,215.0,,,,,,,,
matthew-mccrane,Matthew McCrane,K,,,,44.0,,,1.0,,,,,,,,,,
renegades-dst,Renegades DST,DST,,,,,,0.0,,,,31.0,,,,,,3.0,
renegades-k,Renegades K,K,,,,103.0,,,,,,,,,,,,,
renegades-qb,Renegades QB,QB,,1.0,,,2.0,,,3.0,215.0,,,,,0.0,0.0,,
sal-cannella,Sal Cannella,TE,,,,,,,,,,,0.0,52.0,7.0,,,,
ty-scott,Ty Scott,WR,,,,,,,,,,,0.0,35.0,5.0,,,,
tyler-vaughns,Tyler Vaughns,WR,,1.0,,,,,,,,,2.0,84.0,5.0,,,,
vyncint-smith,Vyncint Smith,WR,,,,,,,,,,,1.0,43.0,1.0,,,,
